"","row_id","SITE","REGION","REGION_SUB","YEAR","DATE","SI_LATI","SI_LONG","DEPTH","HABITAT","REEF_ZONE","OCEAN","coral_cover","SI_LONG_360","JURISDICTION","c_sst_mean","c_sst_sd","human_pop50_log","kd490_cv","kd490_mean","kd490_sd","land_area50_log","nAll_30yr","npp_cv","npp_mean","npp_sd","sst_cv","sst_mean","sst_sd","wave_cv","wave_mean","wave_sd","long_bin_0.5","lat_bin_0.5","long_bin_2.5","lat_bin_2.5","admin","my_cell","cell_0.5","cell_2.5","region_n","region_edit_notes"
"11",11,"PRICO-108","EPRICO","EPRICO",2014,"8/18/14",18.3502712,-65.320368,22.86,"PVMT","Not available","CARIB",5,294.679632,"PRICO",27.02,1.2,12.05998272,0.191684721,0.04709679,0.009027735,6.507158003,2,0.151702961,1036.746995,157.277589,0.040175285,27.52171,1.105692543,0.596405198,5.859615403,3.494705084,-65.32083333,18.35416667,-65.3125,18.35416667,"OPEN","-65.3125_18.3541666666667","-65.321_18.354","-65.312_18.354",1,NA
"12",12,"PRICO-109","EPRICO","EPRICO",2014,"8/20/14",18.3536949,-65.357622,15.0876,"BDRK","Not available","CARIB",7,294.642378,"PRICO",27.08,1.19,12.05998272,0.181133983,0.05146476,0.009322017,6.507158003,2,0.151702961,1036.746995,157.277589,0.040341424,27.56853,1.112153766,0.596405198,5.859615403,3.494705084,-65.35416667,18.35416667,-65.35416667,18.35416667,"OPEN","-65.3541666666667_18.3541666666667","-65.354_18.354","-65.354_18.354",1,NA
"13",13,"PRICO-11","SWPRICO","SWPRICO",2014,"5/21/14",17.8865083,-66.48603,15.0876,"PVMT","Not available","CARIB",1.01010101,293.51397,"PRICO",27.51,1.19,13.6421317,0.237101649,0.07139726,0.016928408,8.083299372,1,0.187693031,778.7017511,146.1568918,0.040484059,27.8788,1.128646978,0.277129963,1.701116035,0.471430223,-66.4875,17.8875,-66.47916667,17.89583333,"OPEN","-66.4791666666667_17.8958333333333","-66.488_17.887","-66.479_17.896",1,NA
"14",14,"PRICO-110","EPRICO","EPRICO",2014,"8/19/14",18.3569603,-65.363223,15.24,"BDRK","Not available","CARIB",6,294.636777,"PRICO",27.08,1.19,12.23947841,0.181133983,0.05146476,0.009322017,6.665242223,2,0.155478041,1053.602002,163.8119756,0.040341424,27.56853,1.112153766,0.60785475,6.024517146,3.662031367,-65.3625,18.35416667,-65.35416667,18.35416667,"OPEN","-65.3541666666667_18.3541666666667","-65.362_18.354","-65.354_18.354",1,NA
"15",15,"PRICO-111","SWPRICO","SWPRICO",2014,"6/16/14",18.1534642,-67.321327,10.5156,"PVMT","Not available","CARIB",1.98019802,292.678673,"PRICO",27.6,1.16,13.17331691,0.17755978,0.07194636,0.01277478,7.523451438,0,0.224968114,924.5072943,207.984662,0.038815009,27.95701,1.085151602,0.664390033,2.977993262,1.978549041,-67.32083333,18.15416667,-67.3125,18.14583333,"OPEN","-67.3125_18.1458333333333","-67.321_18.154","-67.312_18.146",1,NA
"16",16,"PRICO-112","NPRICO","NPRICO",2014,"9/7/14",18.5190915,-67.099023,14.1732,"PVMT","Not available","CARIB",5,292.900977,"PRICO",27.36,1.15,13.43144093,0.288583677,0.04282894,0.012359733,7.729913887,1,0.165535273,782.2606264,129.4917264,0.037977484,27.69732,1.051874517,0.574830223,8.452242667,4.858604538,-67.09583333,18.52083333,-67.10416667,18.52083333,"OPEN","-67.1041666666667_18.5208333333333","-67.096_18.521","-67.104_18.521",1,NA
"17",17,"PRICO-113","NPRICO","NPRICO",2014,"9/7/14",18.517512,-67.121768,10.668,"PVMT","Not available","CARIB",6.060606061,292.878232,"PRICO",27.37,1.13,13.37476588,0.288583677,0.04282894,0.012359733,7.638499376,1,0.165059542,783.8915128,129.3887742,0.037977484,27.69732,1.051874517,0.579995544,8.1820205,4.745535429,-67.12083333,18.52083333,-67.10416667,18.52083333,"OPEN","-67.1041666666667_18.5208333333333","-67.121_18.521","-67.104_18.521",1,NA
"18",18,"PRICO-114","NPRICO","NPRICO",2014,"9/7/14",18.5099603,-67.134635,7.1628,"SCR","Not available","CARIB",0,292.865365,"PRICO",27.37,1.13,13.37476588,0.265841015,0.04115747,0.010941344,7.638499376,1,0.165059542,783.8915128,129.3887742,0.037640781,27.71267,1.04312655,0.579995544,8.1820205,4.745535429,-67.1375,18.5125,-67.14583333,18.52083333,"OPEN","-67.1458333333333_18.5208333333333","-67.138_18.512","-67.146_18.521",1,NA
"19",19,"PRICO-115","NPRICO","NPRICO",2014,"9/7/14",18.5078322,-67.147916,14.478,"PVMT","Not available","CARIB",3,292.852084,"PRICO",27.37,1.13,13.37476588,0.265841015,0.04115747,0.010941344,7.638499376,0,0.165059542,783.8915128,129.3887742,0.037640781,27.71267,1.04312655,0.579995544,8.1820205,4.745535429,-67.14583333,18.50416667,-67.14583333,18.52083333,"OPEN","-67.1458333333333_18.5208333333333","-67.146_18.504","-67.146_18.521",1,NA
"20",20,"PRICO-116","NPRICO","NPRICO",2014,"9/8/14",18.4941144,-66.609352,4.572,"AGRF","Not available","CARIB",0,293.390648,"PRICO",27.24,1.2,14.10112399,0.369428427,0.04592363,0.016965494,8.265125075,2,0.259246089,875.7813948,227.0429014,0.044023945,27.14104,1.19485564,0.502836837,0.12351973,0.06211027,-66.6125,18.49583333,-66.60416667,18.47916667,"OPEN","-66.6041666666667_18.4791666666667","-66.612_18.496","-66.604_18.479",1,NA
"21",21,"PRICO-117","NPRICO","NPRICO",2014,"9/7/14",18.4998084,-67.158892,15.3924,"PVMT","Not available","CARIB",0,292.841108,"PRICO",27.37,1.13,13.41812224,0.349606518,0.0432483,0.015119888,7.659584479,0,0.310374868,870.4095548,270.1532505,0.037209239,27.68555,1.03015824,0.625633271,6.76932621,4.235115699,-67.1625,18.49583333,-67.14583333,18.47916667,"OPEN","-67.1458333333333_18.4791666666667","-67.162_18.496","-67.146_18.479",1,NA
"22",22,"PRICO-118","NPRICO","NPRICO",2014,"9/7/14",18.488382,-66.927517,5.1816,"BDRK","Not available","CARIB",1,293.072483,"PRICO",27.29,1.15,13.69549654,0.430246995,0.04098886,0.017635334,8.115568016,2,0.223487229,773.6848888,172.9086921,0.054406664,27.08077,1.473374358,0.575843801,9.381111308,5.402054791,-66.92916667,18.4875,-66.9375,18.47916667,"OPEN","-66.9375_18.4791666666667","-66.929_18.488","-66.938_18.479",1,NA
"23",23,"PRICO-119","NPRICO","NPRICO",2014,"9/7/14",18.4844876,-66.902002,4.4196,"SCR","Not available","CARIB",0,293.097998,"PRICO",27.29,1.16,13.73737927,0.454501648,0.04083098,0.018557748,8.166777912,2,0.259138657,833.0425212,215.87352,0.050942711,27.21984,1.386652444,0.577271096,9.397892064,5.425131452,-66.90416667,18.4875,-66.89583333,18.47916667,"OPEN","-66.8958333333333_18.4791666666667","-66.904_18.488","-66.896_18.479",1,NA
"24",24,"PRICO-12","SWPRICO","SWPRICO",2014,"7/17/14",17.8892719,-66.192656,23.9268,"SCR","Not available","CARIB",1,293.807344,"PRICO",27.4,1.21,13.94750502,0.22201519,0.05195957,0.011535814,8.021084425,2,0.188864292,681.2259846,128.6592635,0.040094776,27.87253,1.11754284,0.281073564,2.333543425,0.655897368,-66.19583333,17.8875,-66.1875,17.89583333,"OPEN","-66.1875_17.8958333333333","-66.196_17.887","-66.188_17.896",1,NA
"25",25,"PRICO-120","SWPRICO","SWPRICO",2014,"7/27/14",18.3919922,-67.482291,13.1064,"PVMT","Not available","CARIB",6,292.517709,"PRICO",27.45,1.14,12.83442527,0.173525673,0.02988907,0.005186521,6.750008164,0,0.138701465,559.0388832,77.53951217,0.037412555,27.78102,1.039358937,0.602202406,7.807027381,4.701410676,-67.47916667,18.39583333,-67.47916667,18.39583333,"ID","-67.4791666666667_18.3958333333333","-67.479_18.396","-67.479_18.396",1,NA
"26",26,"PRICO-121","NPRICO","NPRICO",2014,"9/6/14",18.3879878,-67.228219,16.764,"SCR","Not available","CARIB",10.78431373,292.771781,"PRICO",27.49,1.11,13.44015216,0.427566946,0.04507237,0.019271456,7.762068063,0,0.335136945,883.5241654,296.1015897,0.036978361,27.74452,1.02594688,0.772878442,3.698661561,2.858615784,-67.22916667,18.3875,-67.22916667,18.39583333,"OPEN","-67.2291666666667_18.3958333333333","-67.229_18.387","-67.229_18.396",1,NA
"27",27,"PRICO-122","SWPRICO","SWPRICO",2014,"7/27/14",18.389756,-67.48515,10.9728,"PVMT","Not available","CARIB",4.761904762,292.51485,"PRICO",27.45,1.14,12.83442527,0.173525673,0.02988907,0.005186521,6.750008164,0,0.138701465,559.0388832,77.53951217,0.037412555,27.78102,1.039358937,0.602202406,7.807027381,4.701410676,-67.4875,18.3875,-67.47916667,18.39583333,"ID","-67.4791666666667_18.3958333333333","-67.488_18.387","-67.479_18.396",1,NA
"28",28,"PRICO-123","SWPRICO","SWPRICO",2014,"7/27/14",18.3882986,-67.472386,23.3172,"PVMT","Not available","CARIB",56.19047619,292.527614,"PRICO",27.45,1.14,12.83442527,0.173525673,0.02988907,0.005186521,6.750008164,0,0.138701465,559.0388832,77.53951217,0.037412555,27.78102,1.039358937,0.602202406,7.807027381,4.701410676,-67.47083333,18.3875,-67.47916667,18.39583333,"ID","-67.4791666666667_18.3958333333333","-67.471_18.387","-67.479_18.396",1,NA
"29",29,"PRICO-124","SWPRICO","SWPRICO",2014,"7/27/14",18.3869509,-67.473344,16.764,"PVMT","Not available","CARIB",16,292.526656,"PRICO",27.45,1.14,12.83442527,0.173525673,0.02988907,0.005186521,6.750008164,0,0.138701465,559.0388832,77.53951217,0.037412555,27.78102,1.039358937,0.602202406,7.807027381,4.701410676,-67.47083333,18.3875,-67.47916667,18.39583333,"ID","-67.4791666666667_18.3958333333333","-67.471_18.387","-67.479_18.396",1,NA
"30",30,"PRICO-125","NPRICO","NPRICO",2014,"9/6/14",18.3839621,-67.232518,14.1732,"SCR","Not available","CARIB",0,292.767482,"PRICO",27.49,1.11,13.44015216,0.427566946,0.04507237,0.019271456,7.762068063,0,0.335136945,883.5241654,296.1015897,0.036978361,27.74452,1.02594688,0.772878442,3.698661561,2.858615784,-67.22916667,18.3875,-67.22916667,18.39583333,"OPEN","-67.2291666666667_18.3958333333333","-67.229_18.387","-67.229_18.396",1,NA
"31",31,"PRICO-126","SWPRICO","SWPRICO",2014,"7/27/14",18.3816357,-67.486641,9.4488,"AGRF","Not available","CARIB",20.38834951,292.513359,"PRICO",27.45,1.14,12.83442527,0.173525673,0.02988907,0.005186521,6.750008164,0,0.138701465,559.0388832,77.53951217,0.037412555,27.78102,1.039358937,0.602202406,7.807027381,4.701410676,-67.4875,18.37916667,-67.47916667,18.39583333,"ID","-67.4791666666667_18.3958333333333","-67.488_18.379","-67.479_18.396",1,NA
"32",32,"PRICO-127","SWPRICO","SWPRICO",2014,"7/27/14",18.3816395,-67.487114,11.7348,"AGRF","Not available","CARIB",6,292.512886,"PRICO",27.45,1.14,12.60321992,0.173525673,0.02988907,0.005186521,6.448445729,0,0.130318365,549.5580443,71.61750562,0.037412555,27.78102,1.039358937,0.584826302,8.159424248,4.771845912,-67.4875,18.37916667,-67.47916667,18.39583333,"ID","-67.4791666666667_18.3958333333333","-67.488_18.379","-67.479_18.396",1,NA
"33",33,"PRICO-128","SWPRICO","SWPRICO",2014,"7/27/14",18.3784546,-67.484303,17.8308,"AGRF","Not available","CARIB",17,292.515697,"PRICO",27.45,1.14,12.87617891,0.173525673,0.02988907,0.005186521,6.851971616,0,0.152835744,562.1756775,85.92053816,0.037412555,27.78102,1.039358937,0.606568111,6.900167598,4.185421629,-67.4875,18.37916667,-67.47916667,18.39583333,"ID","-67.4791666666667_18.3958333333333","-67.488_18.379","-67.479_18.396",1,NA
"34",34,"PRICO-129","SWPRICO","SWPRICO",2014,"7/27/14",18.3779991,-67.483833,24.0792,"AGRF","Not available","CARIB",21.78217822,292.516167,"PRICO",27.45,1.14,12.87617891,0.173525673,0.02988907,0.005186521,6.851971616,0,0.152835744,562.1756775,85.92053816,0.037412555,27.78102,1.039358937,0.606568111,6.900167598,4.185421629,-67.4875,18.37916667,-67.47916667,18.39583333,"ID","-67.4791666666667_18.3958333333333","-67.488_18.379","-67.479_18.396",1,NA
"35",35,"PRICO-13","SWPRICO","SWPRICO",2014,"7/16/14",17.9149073,-66.248848,6.5532,"AGRF","Not available","CARIB",25.24271845,293.751152,"PRICO",27.42,1.2,13.89977634,0.22120049,0.05264435,0.011644956,8.058704263,2,0.168604214,688.8198151,116.1379238,0.04036857,27.88116,1.125522545,0.283441249,1.947539714,0.552013089,-66.24583333,17.9125,-66.22916667,17.89583333,"OPEN","-66.2291666666667_17.8958333333333","-66.246_17.913","-66.229_17.896",1,NA
"36",36,"PRICO-130","NPRICO","NPRICO",2014,"9/6/14",18.3756154,-67.258153,14.7828,"PVMT","Not available","CARIB",3.03030303,292.741847,"PRICO",27.47,1.12,13.37739622,0.427299078,0.04159003,0.017771381,7.71278291,0,0.270151451,778.5574589,210.3284275,0.03719493,27.79339,1.033773186,0.729286271,3.612804969,2.634769062,-67.25416667,18.37916667,-67.27083333,18.39583333,"OPEN","-67.2708333333333_18.3958333333333","-67.254_18.379","-67.271_18.396",1,NA
"37",37,"PRICO-131","NPRICO","NPRICO",2014,"6/10/14",18.351301,-67.266913,1.8288,"AGRF","Not available","CARIB",15.84158416,292.733087,"PRICO",27.51,1.14,13.37739622,0.431113679,0.04506449,0.019427918,7.71278291,0,0.270151451,778.5574589,210.3284275,0.037133845,27.82844,1.033376988,0.729286271,3.612804969,2.634769062,-67.27083333,18.35416667,-67.27083333,18.35416667,"TPR","-67.2708333333333_18.3541666666667","-67.271_18.354","-67.271_18.354",1,NA
"38",38,"PRICO-132","NPRICO","NPRICO",2014,"8/17/14",18.3513096,-67.267859,3.2004,"AGRF","Not available","CARIB",2,292.732141,"PRICO",27.51,1.14,13.37739622,0.431113679,0.04506449,0.019427918,7.71278291,0,0.270151451,778.5574589,210.3284275,0.037133845,27.82844,1.033376988,0.729286271,3.612804969,2.634769062,-67.27083333,18.35416667,-67.27083333,18.35416667,"TPR","-67.2708333333333_18.3541666666667","-67.271_18.354","-67.271_18.354",1,NA
"39",39,"PRICO-133","NPRICO","NPRICO",2014,"9/8/14",18.4945032,-66.399207,11.8872,"BDRK","Not available","CARIB",8.653846154,293.600793,"PRICO",27.19,1.19,14.5710084,0.495465883,0.05026339,0.024903795,8.23717917,2,0.278582686,884.2864064,246.3468824,0.043244063,27.08598,1.171307816,0.998925406,0.021828806,0.021805349,-66.39583333,18.49583333,-66.39583333,18.47916667,"OPEN","-66.3958333333333_18.4791666666667","-66.396_18.496","-66.396_18.479",1,NA
"40",40,"PRICO-134","NPRICO","NPRICO",2014,"9/8/14",18.4945162,-66.400153,11.7348,"BDRK","Not available","CARIB",1,293.599847,"PRICO",27.19,1.19,14.5710084,0.495465883,0.05026339,0.024903795,8.23717917,2,0.278582686,884.2864064,246.3468824,0.043244063,27.08598,1.171307816,0.998925406,0.021828806,0.021805349,-66.40416667,18.49583333,-66.39583333,18.47916667,"OPEN","-66.3958333333333_18.4791666666667","-66.404_18.496","-66.396_18.479",1,NA
"41",41,"PRICO-135","NPRICO","NPRICO",2014,"9/8/14",18.4940453,-66.398741,10.8204,"BDRK","Not available","CARIB",0.99009901,293.601259,"PRICO",27.19,1.19,14.5710084,0.495465883,0.05026339,0.024903795,8.23717917,2,0.278582686,884.2864064,246.3468824,0.043244063,27.08598,1.171307816,0.998925406,0.021828806,0.021805349,-66.39583333,18.49583333,-66.39583333,18.47916667,"OPEN","-66.3958333333333_18.4791666666667","-66.396_18.496","-66.396_18.479",1,NA
"42",42,"PRICO-136","NPRICO","NPRICO",2014,"9/8/14",18.4935091,-66.392596,10.8204,"BDRK","Not available","CARIB",4.95049505,293.607404,"PRICO",27.19,1.19,14.5710084,0.495465883,0.05026339,0.024903795,8.23717917,2,0.278582686,884.2864064,246.3468824,0.043244063,27.08598,1.171307816,0.998925406,0.021828806,0.021805349,-66.39583333,18.49583333,-66.39583333,18.47916667,"OPEN","-66.3958333333333_18.4791666666667","-66.396_18.496","-66.396_18.479",1,NA
"43",43,"PRICO-137","NPRICO","NPRICO",2014,"9/8/14",18.4886546,-66.433842,2.1336,"AGRF","Not available","CARIB",0,293.566158,"PRICO",27.22,1.17,14.52841184,0.568065756,0.05082948,0.028874487,8.242051752,2,0.268275924,895.6536622,240.2823139,0.044744232,27.22589,1.218201543,0.576928546,9.663244266,5.575001469,-66.4375,18.4875,-66.4375,18.47916667,"OPEN","-66.4375_18.4791666666667","-66.438_18.488","-66.438_18.479",1,NA
"44",44,"PRICO-138","NPRICO","NPRICO",2014,"9/8/14",18.4840879,-66.332167,9.2964,"PVMT","Not available","CARIB",17,293.667833,"PRICO",27.21,1.21,14.59034509,0.470981682,0.05385337,0.025363951,8.2320669,2,0.248821493,900.2724068,224.0071239,0.04009376,27.41168,1.099037306,0.576199362,9.803482254,5.648760215,-66.32916667,18.4875,-66.3125,18.47916667,"OPEN","-66.3125_18.4791666666667","-66.329_18.488","-66.312_18.479",1,NA
"45",45,"PRICO-139","EPRICO","EPRICO",2014,"8/26/14",18.3768714,-65.560352,10.3632,"PVMT","Not available","CARIB",6.930693069,294.439648,"PRICO",27.13,1.24,13.5089854,0.192148126,0.05399615,0.010375259,7.30993317,2,0.146234508,1055.887922,154.4072512,0.041416188,27.45228,1.136968777,0.58174206,4.216309173,2.452804383,-65.5625,18.37916667,-65.5625,18.39583333,"OPEN","-65.5625_18.3958333333333","-65.562_18.379","-65.562_18.396",1,NA
"46",46,"PRICO-14","SWPRICO","SWPRICO",2014,"7/14/14",17.9265787,-66.089251,11.2776,"PTRF","Not available","CARIB",1.960784314,293.910749,"PRICO",27.41,1.22,14.21491534,0.285493144,0.0752563,0.021485158,8.092670611,2,0.226173128,662.473581,149.8337218,0.041939522,27.91569,1.170770686,0.285849313,2.395052433,0.684624092,-66.0875,17.92916667,-66.10416667,17.9375,"OPEN","-66.1041666666667_17.9375","-66.088_17.929","-66.104_17.938",1,NA
"47",47,"PRICO-140","EPRICO","EPRICO",2014,"8/26/14",18.3709901,-65.559523,7.9248,"PVMT","Not available","CARIB",2.941176471,294.440477,"PRICO",27.13,1.24,13.5089854,0.17000972,0.05846618,0.009939819,7.30993317,2,0.146234508,1055.887922,154.4072512,0.04417388,27.59969,1.219185384,0.58174206,4.216309173,2.452804383,-65.5625,18.37083333,-65.5625,18.35416667,"OPEN","-65.5625_18.3541666666667","-65.562_18.371","-65.562_18.354",1,NA
"48",48,"PRICO-141","EPRICO","EPRICO",2014,"8/26/14",18.3638466,-65.538871,7.9248,"PVMT","Not available","CARIB",3,294.461129,"PRICO",27.19,1.23,13.5089854,0.16326971,0.05250952,0.008573214,7.30993317,2,0.146234508,1055.887922,154.4072512,0.042207839,27.58038,1.164108242,0.58174206,4.216309173,2.452804383,-65.5375,18.3625,-65.52083333,18.35416667,"OPEN","-65.5208333333333_18.3541666666667","-65.537_18.363","-65.521_18.354",1,NA
"49",49,"PRICO-142","EPRICO","EPRICO",2014,"8/26/14",18.3603967,-65.498298,20.8788,"PVMT","Not available","CARIB",3,294.501702,"PRICO",27.18,1.2,13.15405582,0.163821535,0.05099842,0.008354639,7.159038335,2,0.150665207,1044.670428,157.3954866,0.040936041,27.57659,1.128876433,0.592357014,4.931384121,2.921139974,-65.49583333,18.3625,-65.47916667,18.35416667,"OPEN","-65.4791666666667_18.3541666666667","-65.496_18.363","-65.479_18.354",1,NA
"50",50,"PRICO-143","EPRICO","EPRICO",2014,"8/26/14",18.3577759,-65.52765,14.7828,"PVMT","Not available","CARIB",16.34615385,294.47235,"PRICO",27.18,1.2,13.15405582,0.16326971,0.05250952,0.008573214,7.159038335,2,0.150665207,1044.670428,157.3954866,0.042207839,27.58038,1.164108242,0.592357014,4.931384121,2.921139974,-65.52916667,18.35416667,-65.52083333,18.35416667,"OPEN","-65.5208333333333_18.3541666666667","-65.529_18.354","-65.521_18.354",1,NA
"51",51,"PRICO-144","EPRICO","EPRICO",2014,"8/26/14",18.3525196,-65.487116,15.5448,"SCR","Not available","CARIB",5.940594059,294.512884,"PRICO",27.17,1.19,13.15405582,0.163821535,0.05099842,0.008354639,7.159038335,2,0.150665207,1044.670428,157.3954866,0.040936041,27.57659,1.128876433,0.592357014,4.931384121,2.921139974,-65.4875,18.35416667,-65.47916667,18.35416667,"OPEN","-65.4791666666667_18.3541666666667","-65.488_18.354","-65.479_18.354",1,NA
"52",52,"PRICO-145","EPRICO","EPRICO",2014,"8/26/14",18.3535338,-65.567431,16.002,"PVMT","Not available","CARIB",24,294.432569,"PRICO",27.19,1.23,13.5089854,0.17000972,0.05846618,0.009939819,7.30993317,2,0.146234508,1055.887922,154.4072512,0.04417388,27.59969,1.219185384,0.58174206,4.216309173,2.452804383,-65.57083333,18.35416667,-65.5625,18.35416667,"OPEN","-65.5625_18.3541666666667","-65.571_18.354","-65.562_18.354",1,NA
"53",53,"PRICO-146","EPRICO","EPRICO",2014,"8/26/14",18.3422584,-65.618217,2.7432,"AGRF","Not available","CARIB",1,294.381783,"PRICO",27.16,1.25,14.07284605,0.208518605,0.06607907,0.013778715,7.567772705,2,0.15106457,988.2799269,149.2940818,0.04662149,27.72158,1.292421371,0.613630179,4.136396277,2.538217589,-65.62083333,18.34583333,-65.60416667,18.35416667,"OPEN","-65.6041666666667_18.3541666666667","-65.621_18.346","-65.604_18.354",1,NA
"54",54,"PRICO-147","EPRICO","EPRICO",2014,"8/25/14",18.2764887,-65.474953,17.9832,"PVMT","Not available","CARIB",11,294.525047,"PRICO",27.22,1.24,12.91227918,0.17588703,0.05432523,0.009555103,7.072023928,2,0.155872905,1068.21406,166.5056292,0.042574807,27.66404,1.177791153,0.567130595,3.827275953,2.170565289,-65.47083333,18.27916667,-65.47916667,18.27083333,"OPEN","-65.4791666666667_18.2708333333333","-65.471_18.279","-65.479_18.271",1,NA
"55",55,"PRICO-148","EPRICO","EPRICO",2014,"8/28/14",18.2617152,-65.606083,4.1148,"BDRK","Not available","CARIB",3.921568627,294.393917,"PRICO",27.23,1.27,13.81501043,0.204862763,0.07804033,0.015987558,7.517800445,2,0.146234508,1055.887922,154.4072512,0.051449253,27.76033,1.428248228,0.413460033,1.371801604,0.567185136,-65.60416667,18.2625,-65.60416667,18.27083333,"OPEN","-65.6041666666667_18.2708333333333","-65.604_18.262","-65.604_18.271",1,NA
