"","ll_id","OCEAN","REGION","REGION_SUB","SI_LATI","SI_LONG","YEAR","DATE","SI_LONG_360","REGION_NEW","long_bin_2.5","lat_bin_2.5","c_sst_mean","c_sst_sd","human_pop50","human_pop50_log","kd490_cv","kd490_mean","kd490_sd","land_area50","land_area50_log","nAll_30yr","npp_cv","npp_mean","npp_sd","sst_cv","sst_mean","sst_sd","wave_cv","wave_mean","wave_sd"
"11",11,"CARIB","PRICO","PRICO",17.8865083,-66.48603,2014,"5/21/2014",293.51397,"PRICO",-66.47916667,17.89583333,27.51,1.19,840818,13.6421316958157,0.237101648947968,0.07139726,0.0169284080763668,3238.9052734375,8.08329937176561,1,0.187693030929224,778.701751064659,146.15689184722,0.0404840587679453,27.8788,1.12864697757979,0.277129962600467,1.70111603490507,0.471430223132297
"12",12,"CARIB","PRICO","PRICO",17.8892719,-66.192656,2014,"7/17/2014",293.807344,"PRICO",-66.1875,17.89583333,27.4,1.21,1141101,13.947505020116,0.222015189863478,0.05195957,0.0115358137987747,3043.47705078125,8.02108442509322,2,0.188864292336759,681.225984626819,128.659263507956,0.0400947757646023,27.87253,1.11754284034215,0.281073564265968,2.33354342538471,0.655897367942296
"13",13,"CARIB","PRICO","PRICO",17.9149073,-66.248848,2014,"7/16/2014",293.751152,"PRICO",-66.22916667,17.89583333,27.42,1.2,1087917,13.8997763359107,0.22120048950385,0.05264435,0.011644955989612,3160.19140625,8.05870426281833,2,0.168604214388989,688.819815119885,116.137923783857,0.0403685695039055,27.88116,1.12552254530951,0.283441248826962,1.94753971390512,0.552013088649371
"14",14,"CARIB","PRICO","PRICO",17.9265787,-66.089251,2014,"7/14/2014",293.910749,"PRICO",-66.10416667,17.9375,27.41,1.22,1490936,14.214915339333,0.285493143664544,0.0752563,0.021485157667562,3269.40991210938,8.0926706114201,2,0.22617312763647,662.473580972384,149.833721785056,0.0419395216934625,27.91569,1.17077068634297,0.285849312866896,2.39505243266469,0.684624092157389
"15",15,"CARIB","PRICO","PRICO",17.9361393,-66.06457,2014,"7/17/2014",293.93543,"PRICO",-66.0625,17.9375,27.39,1.23,1430171,14.1733052747233,0.242548867819562,0.06402025,0.0155280391550253,3156.38623046875,8.05749982205333,2,0.226942201235686,656.400946357356,148.965075659526,0.0407549329871901,27.89419,1.13682584418195,0.290605061527833,2.70231773838769,0.78530721263191
"16",16,"CARIB","PRICO","PRICO",17.9422992,-66.024378,2014,"7/15/2014",293.975622,"PRICO",-66.02083333,17.9375,27.37,1.21,1338991,14.1074276500475,0.289229874121652,0.04500967,0.0130181411883571,3048.45190429688,8.02271714994363,2,0.224767578080831,637.719781286319,143.338730733963,0.0405035833563469,27.83081,1.12724753270965,0.289773338534275,2.92202880675136,0.846726042625664
"17",17,"CARIB","PRICO","PRICO",17.9445264,-66.081883,2014,"7/17/2014",293.918117,"PRICO",-66.0625,17.9375,27.41,1.22,1490936,14.214915339333,0.242548867819562,0.06402025,0.0155280391550253,3269.40991210938,8.0926706114201,2,0.22617312763647,662.473580972384,149.833721785056,0.0407549329871901,27.89419,1.13682584418195,0.285849312866896,2.39505243266469,0.684624092157389
"18",18,"CARIB","PRICO","PRICO",17.9489529,-65.987478,2014,"7/15/2014",294.012522,"PRICO",-65.97916667,17.9375,27.34,1.18,1338991,14.1074276500475,0.279849185438117,0.03673574,0.0102804669154664,3048.45190429688,8.02271714994363,2,0.224767578080831,637.719781286319,143.338730733963,0.0398490498690416,27.80836,1.10813672441626,0.289773338534275,2.92202880675136,0.846726042625664
"19",19,"CARIB","PRICO","PRICO",17.9582346,-66.003829,2014,"7/14/2014",293.996171,"PRICO",-66.02083333,17.9375,27.37,1.21,1338991,14.1074276500475,0.289229874121652,0.04500967,0.0130181411883571,3048.45190429688,8.02271714994363,2,0.224767578080831,637.719781286319,143.338730733963,0.0405035833563469,27.83081,1.12724753270965,0.289773338534275,2.92202880675136,0.846726042625664
"20",20,"CARIB","PRICO","PRICO",18.0162314,-65.819322,2014,"7/15/2014",294.180678,"PRICO",-65.8125,18.02083333,27.31,1.19,1371236,14.1312238101255,0.323942933342681,0.04062906,0.0131614968753558,2756.388671875,7.92203937746587,2,0.247144837986755,765.756409380469,189.252743733655,0.0398933577337266,27.79006,1.10863880502173,0.283370946367472,2.64610194654945,0.749828412778527
"21",21,"CARIB","PRICO","PRICO",18.0239489,-65.822014,2014,"7/15/2014",294.177986,"PRICO",-65.8125,18.02083333,27.31,1.19,1583577,14.2751974017205,0.323942933342681,0.04062906,0.0131614968753558,2983.29516601562,8.00111887265684,2,0.253374497166484,724.95212992524,183.684381389579,0.0398933577337266,27.79006,1.10863880502173,0.283921983278286,2.60603830551194,0.739911564200134
"22",22,"CARIB","PRICO","PRICO",18.0645739,-65.794857,2014,"7/15/2014",294.205143,"PRICO",-65.8125,18.0625,27.28,1.2,1627133,14.3023307429819,0.453001676855241,0.04909754,0.0222412679494673,2881.01489257812,7.96624494399168,2,0.247144837986755,765.756409380469,189.252743733655,0.0414977992209573,27.90088,1.15782511632802,0.28747961014332,2.32614865281305,0.668720307846104
"23",23,"CARIB","PRICO","PRICO",18.0738155,-65.397882,2014,"8/19/2014",294.602118,"PRICO",-65.39583333,18.0625,27.23,1.2,160601,11.9866845337174,0.230912092983709,0.03407208,0.00786765530510838,665.445007324219,6.50195762657357,2,0.173163562834735,648.871867559226,112.360964409784,0.0399266311651198,27.70227,1.10605831672656,0.271211492418669,3.17758432735624,0.861797387708458
"24",24,"CARIB","PRICO","PRICO",18.0982239,-65.3285,2014,"8/19/2014",294.6715,"PRICO",-65.3125,18.10416667,27.21,1.2,132527,11.794549222838,0.233239852316093,0.03708071,0.00864869932417586,581.093811035156,6.36663162208778,3,0.166436755892084,660.661506139582,109.95835782465,0.0401640396844869,27.68217,1.11182777443271,0.297688052197523,3.43415544163568,1.02230704436405
"25",25,"CARIB","PRICO","PRICO",18.2122896,-65.395513,2014,"8/20/2014",294.604487,"PRICO",-65.39583333,18.22916667,27.17,1.2,208722,12.2487632930304,0.22519079555402,0.0441172,0.00993478736561583,812.189819335938,6.70096456241357,2,0.16807384150122,664.604809004475,111.702683329567,0.0399895811798934,27.6065,1.10397237284273,0.501015834235989,3.40325677460076,1.70508553204588
"26",26,"CARIB","PRICO","PRICO",17.8670479,-67.124006,2014,"5/29/2014",292.875994,"PRICO",-67.10416667,17.85416667,27.55,1.13,385656,12.8627036523708,0.205177113268133,0.03809708,0.00781664889834512,1643.29406738281,7.40506643272414,1,0.177312333049126,640.798917132556,113.621551012127,0.0365551999325725,27.93331,1.02110773182853,0.277759044000819,3.53531801890408,0.981966553169665
"27",27,"CARIB","PRICO","PRICO",17.8720038,-67.076306,2014,"5/29/2014",292.923694,"PRICO",-67.0625,17.85416667,27.5700000000001,1.15,425509,12.961043728482,0.202256185496698,0.03800948,0.00768765243751303,1800.99462890625,7.49664945753468,1,0.178226757060828,646.142923928112,115.159957929509,0.0365551999325725,27.93331,1.02110773182853,0.283085530020617,3.42085142370798,0.968393538402155
"28",28,"CARIB","PRICO","PRICO",17.8760135,-67.116835,2014,"5/28/2014",292.883165,"PRICO",-67.10416667,17.89583333,27.5700000000001,1.15,385656,12.8627036523708,0.199522944796944,0.05735722,0.0114440814397661,1643.29406738281,7.40506643272414,1,0.177312333049126,640.798917132556,113.621551012127,0.0374186906280561,27.9883,1.04728553890522,0.277759044000819,3.53531801890408,0.981966553169665
"29",29,"CARIB","PRICO","PRICO",17.8961533,-67.007162,2014,"5/28/2014",292.992838,"PRICO",-67.02083333,17.89583333,27.56,1.14,621742,13.3402821030578,0.224017298014119,0.05235748,0.0117289812004283,2435.6328125,7.79837237034035,1,0.179732742421397,694.951037179245,124.90545576082,0.0374434169708576,27.97493,1.04747696872055,0.289356379440958,2.24848044472661,0.650612160729887
"30",30,"CARIB","PRICO","PRICO",17.8991891,-67.039211,2014,"5/28/2014",292.960789,"PRICO",-67.02083333,17.89583333,27.56,1.14,595591,13.2973111478683,0.224017298014119,0.05235748,0.0117289812004283,2271.02368164062,7.72842620304404,1,0.183077839558848,698.701965440114,127.916846328297,0.0374434169708576,27.97493,1.04747696872055,0.286619830010281,2.27733720045882,0.652730001271597
"31",31,"CARIB","PRICO","PRICO",17.9027192,-67.268492,2014,"6/20/2014",292.731508,"PRICO",-67.27083333,17.89583333,27.58,1.14,367064,12.8132942230709,0.186048816549368,0.05107601,0.00950263121456368,1393.22290039062,7.24009247838765,0,0.144564772456478,713.065322890623,103.084126150288,0.0369393600506835,27.97717,1.03345875582918,0.301642889754992,3.20201043999704,0.965863682146362
"32",32,"CARIB","PRICO","PRICO",17.901754,-67.069852,2014,"5/29/2014",292.930148,"PRICO",-67.0625,17.89583333,27.56,1.14,595591,13.2973111478683,0.19071791587525,0.05827266,0.0111136402677071,2271.02368164062,7.72842620304404,1,0.183077839558848,698.701965440114,127.916846328297,0.0376436591803715,27.97439,1.05305840293879,0.286619830010281,2.27733720045882,0.652730001271597
"33",33,"CARIB","PRICO","PRICO",17.9050085,-67.033957,2014,"5/28/2014",292.966043,"PRICO",-67.02083333,17.89583333,27.56,1.14,595591,13.2973111478683,0.224017298014119,0.05235748,0.0117289812004283,2271.02368164062,7.72842620304404,1,0.183077839558848,698.701965440114,127.916846328297,0.0374434169708576,27.97493,1.04747696872055,0.286619830010281,2.27733720045882,0.652730001271597
"34",34,"CARIB","PRICO","PRICO",17.9043687,-66.928749,2014,"5/30/2014",293.071251,"PRICO",-66.9375,17.89583333,27.54,1.14,693754,13.449874151224,0.270142733595538,0.04428657,0.0119636950813701,2735.99633789062,7.91461637103855,1,0.183017896513389,690.375980131161,126.351159686974,0.0372740253113462,27.97938,1.04290411831577,0.296199609717355,2.39383171911321,0.709052020930358
"35",35,"CARIB","PRICO","PRICO",17.909102,-67.275037,2014,"6/20/2014",292.724963,"PRICO",-67.27083333,17.89583333,27.58,1.14,367064,12.8132942230709,0.186048816549368,0.05107601,0.00950263121456368,1393.22290039062,7.24009247838765,0,0.144564772456478,713.065322890623,103.084126150288,0.0369393600506835,27.97717,1.03345875582918,0.301642889754992,3.20201043999704,0.965863682146362
"36",36,"CARIB","PRICO","PRICO",17.9067821,-66.943347,2014,"5/30/2014",293.056653,"PRICO",-66.9375,17.89583333,27.54,1.14,693754,13.449874151224,0.270142733595538,0.04428657,0.0119636950813701,2735.99633789062,7.91461637103855,1,0.183017896513389,690.375980131161,126.351159686974,0.0372740253113462,27.97938,1.04290411831577,0.296199609717355,2.39383171911321,0.709052020930358
"37",37,"CARIB","PRICO","PRICO",17.9064909,-66.915985,2014,"5/27/2014",293.084015,"PRICO",-66.89583333,17.89583333,27.54,1.14,693754,13.449874151224,0.273019701130765,0.03878649,0.0105894759077114,2735.99633789062,7.91461637103855,1,0.183017896513389,690.375980131161,126.351159686974,0.0369768525476217,27.95745,1.03377850625751,0.296199609717355,2.39383171911321,0.709052020930358
"38",38,"CARIB","PRICO","PRICO",17.9139212,-67.066889,2014,"5/28/2014",292.933111,"PRICO",-67.0625,17.89583333,27.58,1.16,595591,13.2973111478683,0.19071791587525,0.05827266,0.0111136402677071,2271.02368164062,7.72842620304404,1,0.183077839558848,698.701965440114,127.916846328297,0.0376436591803715,27.97439,1.05305840293879,0.286619830010281,2.27733720045882,0.652730001271597
"39",39,"CARIB","PRICO","PRICO",17.9180079,-67.31176,2014,"6/19/2014",292.68824,"PRICO",-67.3125,17.9375,27.6,1.15,343180,12.7460132837581,0.189699159536536,0.06148256,0.0116631899581547,1204.04760742188,7.09427435337825,0,0.142293374299002,675.437451012983,96.1102740325544,0.0375656068480581,28.01346,1.0523426248138,0.303730259285099,3.64226297020593,1.10626547632516
"40",40,"CARIB","PRICO","PRICO",17.917781,-67.235312,2014,"6/20/2014",292.764688,"PRICO",-67.22916667,17.9375,27.61,1.17,393161,12.8819770196551,0.215197159777326,0.07576459,0.0163043245796936,1569.17687988281,7.35894355434217,0,0.151499233292155,703.746777085249,106.61709716024,0.0385211236869856,28.04267,1.08023515958332,0.279047122763733,2.78354364102262,0.776739844114647
"41",41,"CARIB","PRICO","PRICO",17.9189814,-67.268334,2014,"6/19/2014",292.731666,"PRICO",-67.27083333,17.9375,27.6,1.16,367064,12.8132942230709,0.186908755532228,0.06160569,0.0115146428516042,1393.22290039062,7.24009247838765,0,0.144564772456478,713.065322890623,103.084126150288,0.0375656068480581,28.01346,1.0523426248138,0.301642889754992,3.20201043999704,0.965863682146362
"42",42,"CARIB","PRICO","PRICO",17.9216995,-67.320692,2014,"6/20/2014",292.679308,"PRICO",-67.3125,17.9375,27.6,1.15,336609,12.7266802691508,0.189699159536536,0.06148256,0.0116631899581547,1196.41369628906,7.08791925678316,0,0.154997461727141,650.04755496765,100.75572102192,0.0375656068480581,28.01346,1.0523426248138,0.357182902383428,3.32228994051709,1.18666516351316
"43",43,"CARIB","PRICO","PRICO",17.9189546,-66.984258,2014,"5/27/2014",293.015742,"PRICO",-66.97916667,17.9375,27.55,1.16,0,0,0.336991883035039,0.07108139,0.023953851464848,2591.09936523438,7.86022339209015,1,0.182955258308931,713.184925774302,130.480932317073,0.0384691369908688,28.0167,1.07777827033208,0.292903473389958,2.32007765723467,0.679558804338471
"44",44,"CARIB","PRICO","PRICO",17.918441,-66.893197,2014,"5/20/2014",293.106803,"PRICO",-66.89583333,17.9375,27.55,1.15,710765,13.4740985406915,0.307643952660059,0.06218364,0.0191304208003901,2878.673828125,7.96543231259299,1,0.179332571716093,702.254210461707,125.937053560552,0.0380875879410745,28.02386,1.06736123219836,0.298796112227063,2.39117232302564,0.714472993785017
"45",45,"CARIB","PRICO","PRICO",17.9234574,-67.315012,2014,"6/19/2014",292.684988,"PRICO",-67.3125,17.9375,27.6,1.15,389372,12.8722930320741,0.189699159536536,0.06148256,0.0116631899581547,1408.53991699219,7.25101863011924,0,0.150275513713931,663.061734536384,99.6419427815055,0.0375656068480581,28.01346,1.0523426248138,0.376418749932739,2.79495711080928,1.05207426176645
"46",46,"CARIB","PRICO","PRICO",17.9197596,-66.931873,2014,"5/27/2014",293.068127,"PRICO",-66.9375,17.9375,27.54,1.14,693754,13.449874151224,0.314173491134867,0.06900085,0.0216782379357733,2735.99633789062,7.91461637103855,1,0.183017896513389,690.375980131161,126.351159686974,0.0389032700417119,28.03608,1.09069519115104,0.296199609717355,2.39383171911321,0.709052020930358
"47",47,"CARIB","PRICO","PRICO",17.9228545,-67.012054,2014,"5/28/2014",292.987946,"PRICO",-67.02083333,17.9375,27.5700000000001,1.17,711715,13.4754342344173,0.276379228204209,0.07891604,0.0218107542281325,2779.76098632812,7.93047990531505,1,0.182955258308931,713.184925774302,130.480932317073,0.0390172258646513,28.00805,1.09279641287845,0.284828902476439,1.33201240375523,0.379395631046605
"48",48,"CARIB","PRICO","PRICO",17.922212,-66.90778,2014,"5/30/2014",293.09222,"PRICO",-66.89583333,17.9375,27.55,1.15,767778,13.5512572103022,0.307643952660059,0.06218364,0.0191304208003901,3099.2080078125,8.03922448751653,1,0.185230321194127,715.493158805227,132.531027617693,0.0380875879410745,28.02386,1.06736123219836,0.30023435125913,1.75598043095922,0.527205645512768
"49",49,"CARIB","PRICO","PRICO",17.927014,-67.308371,2014,"6/20/2014",292.691629,"PRICO",-67.3125,17.9375,27.6,1.15,389372,12.8722930320741,0.189699159536536,0.06148256,0.0116631899581547,1408.53991699219,7.25101863011924,0,0.150275513713931,663.061734536384,99.6419427815055,0.0375656068480581,28.01346,1.0523426248138,0.376418749932739,2.79495711080928,1.05207426176645
"50",50,"CARIB","PRICO","PRICO",17.9303963,-67.088418,2014,"5/28/2014",292.911582,"PRICO",-67.10416667,17.9375,27.59,1.17,610383,13.321843546289,0.396300660674258,0.1454972,0.0576606364862546,2410.95751953125,7.78819394555734,1,0.173821006277497,675.391932406303,117.397305322567,0.0403312272601981,28.02555,1.13030482614205,0.318780548504379,0.032873354269182,0.0104793859051086
"51",51,"CARIB","PRICO","PRICO",17.9314782,-66.972319,2014,"5/27/2014",293.027681,"PRICO",-66.97916667,17.9375,27.55,1.16,735337,13.5080855364355,0.336991883035039,0.07108139,0.023953851464848,2946.59521484375,7.98874493548392,1,0.182955258308931,713.184925774302,130.480932317073,0.0384691369908688,28.0167,1.07777827033208,0.293480284088994,1.54318521457003,0.452894435173948
"52",52,"CARIB","PRICO","PRICO",17.9384701,-67.037363,2014,"5/27/2014",292.962637,"PRICO",-67.02083333,17.9375,27.58,1.16,688670,13.4425189323262,0.276379228204209,0.07891604,0.0218107542281325,2599.927734375,7.86362348127759,1,0.183077839558848,698.701965440114,127.916846328297,0.0390172258646513,28.00805,1.09279641287845,0.281523341630536,1.31075493759566,0.369008110090655
"53",53,"CARIB","PRICO","PRICO",17.9391587,-67.060952,2014,"5/27/2014",292.939048,"PRICO",-67.0625,17.9375,27.58,1.16,688670,13.4425189323262,0.249060596505605,0.07879418,0.01962452547197,2599.927734375,7.86362348127759,1,0.183077839558848,698.701965440114,127.916846328297,0.0395467899988599,28.03841,1.10882911217193,0.281523341630536,1.31075493759566,0.369008110090655
"54",54,"CARIB","PRICO","PRICO",17.9346889,-66.618394,2014,"6/13/2014",293.381606,"PRICO",-66.60416667,17.9375,27.56,1.16,773109,13.5581766201622,0.274027241808033,0.06623796,0.0181510054817908,3697.81274414062,8.21576716717733,1,0.169890836834541,739.748088339616,125.676421774769,0.0396898769330605,27.98108,1.11056562165412,0.292789252636463,1.08309539184331,0.3171186903118
"55",55,"CARIB","PRICO","PRICO",17.9397789,-66.8618,2014,"5/20/2014",293.1382,"PRICO",-66.85416667,17.9375,27.54,1.15,789494,13.5791487795356,0.332451330165232,0.04763405,0.0158360032836572,3413.01220703125,8.13564347892832,1,0.173623014913245,697.4293171363,121.08978073009,0.0378814260276643,28.03353,1.06195009298931,0.306001916657797,1.78942695930385,0.547568079266111
"56",56,"CARIB","PRICO","PRICO",17.9407136,-66.906147,2014,"5/30/2014",293.093853,"PRICO",-66.89583333,17.9375,27.55,1.15,767778,13.5512572103022,0.307643952660059,0.06218364,0.0191304208003901,3099.2080078125,8.03922448751653,1,0.185230321194127,715.493158805227,132.531027617693,0.0380875879410745,28.02386,1.06736123219836,0.30023435125913,1.75598043095922,0.527205645512768
"57",57,"CARIB","PRICO","PRICO",17.9467284,-66.796596,2014,"5/19/2014",293.203404,"PRICO",-66.8125,17.9375,27.54,1.15,798346,13.5902986190104,0.31766573345927,0.04611825,0.014650187712108,3544.72338867188,8.17349747701277,1,0.167292127596956,720.436378482299,120.52333455455,0.0376360375449279,27.98114,1.05309923558988,0.307463810909007,1.70942952780113,0.525587717098119
"58",58,"CARIB","PRICO","PRICO",17.9456459,-66.703179,2014,"6/13/2014",293.296821,"PRICO",-66.6875,17.9375,27.56,1.16,0,0,0.294491430707335,0.05548667,0.0163403488334858,3689.67529296875,8.21356472651557,1,0.163971163397363,727.608361903722,119.306789599003,0.0387219741991593,27.98734,1.0837250573831,0.301938583149746,1.44121905305576,0.435159638888075
"59",59,"CARIB","PRICO","PRICO",17.9455788,-66.697518,2014,"6/13/2014",293.302482,"PRICO",-66.6875,17.9375,27.55,1.15,0,0,0.294491430707335,0.05548667,0.0163403488334858,3689.67529296875,8.21356472651557,1,0.163971163397363,727.608361903722,119.306789599003,0.0387219741991593,27.98734,1.0837250573831,0.301938583149746,1.44121905305576,0.435159638888075
"60",60,"CARIB","PRICO","PRICO",17.9483608,-66.903225,2014,"5/27/2014",293.096775,"PRICO",-66.89583333,17.9375,27.55,1.15,777723,13.5641269844357,0.307643952660059,0.06218364,0.0191304208003901,3257.11767578125,8.08890490753404,1,0.172253486577974,707.273993543656,121.830411353822,0.0380875879410745,28.02386,1.06736123219836,0.303816484989893,1.81529660446725,0.551517033583328
"61",61,"CARIB","PRICO","PRICO",17.9462755,-66.718271,2014,"6/13/2014",293.281729,"PRICO",-66.72916667,17.9375,27.56,1.16,0,0,0.285902684398421,0.05014795,0.0143374335220778,3689.67529296875,8.21356472651557,1,0.163971163397363,727.608361903722,119.306789599003,0.0381178863376876,27.97702,1.06642486842721,0.301938583149746,1.44121905305576,0.435159638888075
"62",62,"CARIB","PRICO","PRICO",17.9495738,-66.974944,2014,"5/29/2014",293.025056,"PRICO",-66.97916667,17.9375,27.55,1.16,735337,13.5080855364355,0.336991883035039,0.07108139,0.023953851464848,2946.59521484375,7.98874493548392,1,0.182955258308931,713.184925774302,130.480932317073,0.0384691369908688,28.0167,1.07777827033208,0.293480284088994,1.54318521457003,0.452894435173948
"63",63,"CARIB","PRICO","PRICO",17.9525075,-67.228832,2014,"6/19/2014",292.771168,"PRICO",-67.22916667,17.9375,27.61,1.17,460211,13.0394425318627,0.215197159777326,0.07576459,0.0163043245796936,1809.9921875,7.50163014395914,0,0.144564772456478,713.065322890623,103.084126150288,0.0385211236869856,28.04267,1.08023515958332,0.316000656869407,1.7101412670831,0.54040576373774
"64",64,"CARIB","PRICO","PRICO",17.948142,-66.801769,2014,"5/19/2014",293.198231,"PRICO",-66.8125,17.9375,27.54,1.15,798346,13.5902986190104,0.31766573345927,0.04611825,0.014650187712108,3544.72338867188,8.17349747701277,1,0.167292127596956,720.436378482299,120.52333455455,0.0376360375449279,27.98114,1.05309923558988,0.307463810909007,1.70942952780113,0.525587717098119
"65",65,"CARIB","PRICO","PRICO",17.9578067,-66.817695,2014,"5/19/2014",293.182305,"PRICO",-66.8125,17.9375,27.54,1.15,798346,13.5902986190104,0.31766573345927,0.04611825,0.014650187712108,3544.72338867188,8.17349747701277,1,0.167292127596956,720.436378482299,120.52333455455,0.0376360375449279,27.98114,1.05309923558988,0.307463810909007,1.70942952780113,0.525587717098119
"66",66,"CARIB","PRICO","PRICO",17.9584914,-66.798338,2014,"5/19/2014",293.201662,"PRICO",-66.8125,17.97916667,27.54,1.15,798346,13.5902986190104,0.361766370471638,0.05015584,0.0181446961947562,3544.72338867188,8.17349747701277,1,0.167292127596956,720.436378482299,120.52333455455,0.0434337859294036,28.02685,1.2173122031755,0.307463810909007,1.70942952780113,0.525587717098119
"67",67,"CARIB","PRICO","PRICO",18.1012579,-67.421308,2014,"6/16/2014",292.578692,"PRICO",-67.4375,18.10416667,27.58,1.12,399237,12.8973130092699,0.197727692439489,0.03894573,0.00770064932327138,1246.42333984375,7.12883537471043,0,0.136135754152483,623.695752294713,84.9072916003412,0.0369606195060974,27.94437,1.0328412269076,0.571921845041413,4.22086996180569,2.41400773623579
"68",68,"CARIB","PRICO","PRICO",17.9613291,-66.809629,2014,"5/19/2014",293.190371,"PRICO",-66.8125,17.97916667,27.54,1.15,798346,13.5902986190104,0.361766370471638,0.05015584,0.0181446961947562,3544.72338867188,8.17349747701277,1,0.167292127596956,720.436378482299,120.52333455455,0.0434337859294036,28.02685,1.2173122031755,0.307463810909007,1.70942952780113,0.525587717098119
"69",69,"CARIB","PRICO","PRICO",17.9650178,-66.776548,2014,"5/20/2014",293.223452,"PRICO",-66.77083333,17.97916667,27.56,1.15,911320,13.7226504742218,0.400298211220813,0.05158397,0.0206489709186681,4088.7021484375,8.31622742204212,1,0.159547392985444,708.481584746876,113.03638982456,0.0408143642023118,28.12287,1.14781705859427,0.305245035577116,1.58623863686259,0.484191469142917
