"","SITE","REGION","REGION_SUB","YEAR","DATE","SI_LATI","SI_LONG","DEPTH","HABITAT","REEF_ZONE","OCEAN","ll_id","long_bin_2.5","lat_bin_2.5","coral_cover"
"20","ALA-00140","MARIAN","Alamagan",2014,2014-05-02,17.60516217,145.8516427,23.8,"ROB","Forereef","PACIFIC",2181,145.854166666667,17.6041666666667,14.4329896907216
"21","ALA-00142","MARIAN","Alamagan",2014,2014-05-02,17.58471075,145.8435389,6.15,"ROB","Forereef","PACIFIC",2182,145.854166666667,17.6041666666667,4.42176867346939
"22","ASC-00139","MARIAN","Asuncion",2014,2014-04-25,19.67435257,145.403504,21,"AGR","Forereef","PACIFIC",2183,145.395833333333,19.6875,15.3310104508492
"23","ASC-00145","MARIAN","Asuncion",2014,2014-04-24,19.67536376,145.4071509,18.55,"AGR","Forereef","PACIFIC",2184,145.395833333333,19.6875,37.6237623336928
"24","ASC-00150","MARIAN","Asuncion",2014,2014-04-25,19.6750662,145.3987003,19.9,"AGR","Forereef","PACIFIC",2185,145.395833333333,19.6875,12.4203821656051
"25","ASC-00153","MARIAN","Asuncion",2014,2014-04-25,19.68702265,145.3875272,22.8,"AGR","Forereef","PACIFIC",2186,145.395833333333,19.6875,21.4285714285714
"26","ASC-00158","MARIAN","Asuncion",2014,2014-04-24,19.70522739,145.4130055,17,"AGR","Forereef","PACIFIC",2187,145.395833333333,19.6875,19.636363664357
"27","ASC-00161","MARIAN","Asuncion",2014,2014-04-24,19.68130192,145.4153953,14.45,"ROB","Forereef","PACIFIC",2188,145.395833333333,19.6875,14.4781145454545
"28","ASC-00169","MARIAN","Asuncion",2014,2014-04-24,19.70667411,145.3966488,23.65,"AGR","Forereef","PACIFIC",2189,145.395833333333,19.6875,19.4444444791667
"29","ASC-00170","MARIAN","Asuncion",2014,2014-04-25,19.68514225,145.3877231,14.7,"AGR","Forereef","PACIFIC",2190,145.395833333333,19.6875,33.3333332291667
"30","ASC-00173","MARIAN","Asuncion",2014,2014-04-25,19.67504206,145.4043055,11.55,"ROB","Forereef","PACIFIC",2191,145.395833333333,19.6875,8.2474224912318
"31","ASC-00176","MARIAN","Asuncion",2014,2014-04-25,19.68125674,145.3891104,12.75,"AGR","Forereef","PACIFIC",2192,145.395833333333,19.6875,41.5807558391257
"32","ASC-00177","MARIAN","Asuncion",2014,2014-04-25,19.67645952,145.398479,8.05,"ROB","Forereef","PACIFIC",2193,145.395833333333,19.6875,30.999999931
"33","ASC-00179","MARIAN","Asuncion",2014,2014-04-25,19.69867685,145.3912384,14.65,"AGR","Forereef","PACIFIC",2194,145.395833333333,19.6875,25.4416959639901
"34","ASC-00182","MARIAN","Asuncion",2014,2014-04-24,19.69157319,145.4191126,15.2,"ROB","Forereef","PACIFIC",2195,145.4375,19.6875,0
"35","ASC-00187","MARIAN","Asuncion",2014,2014-04-24,19.67629675,145.409783,8.95,"AGR","Forereef","PACIFIC",2196,145.395833333333,19.6875,30.2083331864511
"36","ASC-00191","MARIAN","Asuncion",2014,2014-04-24,19.69152482,145.420403,20.75,"AGR","Forereef","PACIFIC",2197,145.4375,19.6875,25.0000000570175
"37","ASC-00193","MARIAN","Asuncion",2014,2014-04-24,19.70793407,145.4039913,9.1,"ROB","Forereef","PACIFIC",2198,145.395833333333,19.6875,0.41152265003641
"38","ASC-00195","MARIAN","Asuncion",2014,2014-04-25,19.67493687,145.4006045,11.4,"ROB","Forereef","PACIFIC",2199,145.395833333333,19.6875,5.66037750266999
"39","ASC-00196","MARIAN","Asuncion",2014,2014-04-24,19.70220982,145.4163556,16.25,"ROB","Forereef","PACIFIC",2200,145.395833333333,19.6875,24.5614034478301
"40","ASC-00202","MARIAN","Asuncion",2014,2014-04-24,19.68443055,145.4171777,4.7,"ROB","Forereef","PACIFIC",2201,145.4375,19.6875,0.709219886600272
"41","ASC-00206","MARIAN","Asuncion",2014,2014-04-25,19.68394649,145.3896968,4,"AGR","Forereef","PACIFIC",2202,145.395833333333,19.6875,4.57746465594624
"42","ASC-00207","MARIAN","Asuncion",2014,2014-04-25,19.69588526,145.390848,4.45,"ROB","Forereef","PACIFIC",2203,145.395833333333,19.6875,0
"43","BAK-00243","PRIAs","Baker",2015,2015-02-10,0.19361861,-176.456715,26.85,"AGR","Forereef","PACIFIC",2204,-176.4375,0.187499999999991,26.7441859302326
"44","BAK-00247","PRIAs","Baker",2015,2015-02-08,0.18813643,-176.4776098,22.7,"AGR","Forereef","PACIFIC",2205,-176.479166666667,0.187499999999991,26.0416664435402
"45","BAK-00248","PRIAs","Baker",2015,2015-02-11,0.18617364,-176.4627352,22.35,"RRB","Forereef","PACIFIC",2206,-176.479166666667,0.187499999999991,5.97484271149282
"46","BAK-00253","PRIAs","Baker",2015,2015-02-11,0.18997718,-176.4595782,20.9,"AGR","Forereef","PACIFIC",2207,-176.479166666667,0.187499999999991,22.8668941238687
"47","BAK-00254","PRIAs","Baker",2015,2015-02-09,0.20322477,-176.4668929,22.1,"AGR","Forereef","PACIFIC",2208,-176.479166666667,0.187499999999991,32.1192052708763
"48","BAK-00257","PRIAs","Baker",2015,2015-02-10,0.20450067,-176.481822,21.45,"AGR","Forereef","PACIFIC",2209,-176.479166666667,0.187499999999991,10.8391608410558
"49","BAK-00258","PRIAs","Baker",2015,2015-02-11,0.19031019,-176.457306,19,"AGR","Forereef","PACIFIC",2210,-176.4375,0.187499999999991,22.8448276391573
"50","BAK-00260","PRIAs","Baker",2015,2015-02-08,0.18724199,-176.4610198,22,"RRB","Forereef","PACIFIC",2211,-176.479166666667,0.187499999999991,10.8695651086957
"51","BAK-00261","PRIAs","Baker",2015,2015-02-09,0.20600162,-176.4782128,22.4,"APS","Forereef","PACIFIC",2212,-176.479166666667,0.187499999999991,9.12162149353999
"52","BAK-00266","PRIAs","Baker",2015,2015-02-11,0.19358399,-176.4879138,20.1,"AGR","Forereef","PACIFIC",2213,-176.479166666667,0.187499999999991,9.78260870096881
"53","BAK-00273","PRIAs","Baker",2015,2015-02-08,0.18850934,-176.4814599,15.25,"AGR","Forereef","PACIFIC",2214,-176.479166666667,0.187499999999991,19.8606272545497
"54","BAK-00280","PRIAs","Baker",2015,2015-02-11,0.20476855,-176.4799126,10.35,"RRB","Forereef","PACIFIC",2215,-176.479166666667,0.187499999999991,14.8936170371209
"55","BAK-00282","PRIAs","Baker",2015,2015-02-11,0.19734194,-176.4642797,8,"AGR","Forereef","PACIFIC",2216,-176.479166666667,0.187499999999991,45.97701150447
"56","BAK-00284","PRIAs","Baker",2015,2015-02-10,0.1871016,-176.4672514,15.4,"AGR","Forereef","PACIFIC",2217,-176.479166666667,0.187499999999991,40.0722021271358
"57","BAK-00287","PRIAs","Baker",2015,2015-02-08,0.18751432,-176.4743348,14.5,"AGR","Forereef","PACIFIC",2218,-176.479166666667,0.187499999999991,9.96441278289282
"58","BAK-00293","PRIAs","Baker",2015,2015-02-10,0.18710394,-176.4718813,12.865,"AGR","Forereef","PACIFIC",2219,-176.479166666667,0.187499999999991,44.368600657678
"59","BAK-00295","PRIAs","Baker",2015,2015-02-10,0.18887529,-176.4848317,12.95,"AGR","Forereef","PACIFIC",2220,-176.479166666667,0.187499999999991,38.3763837041979
"60","BAK-00297","PRIAs","Baker",2015,2015-02-10,0.19976355,-176.4624421,16.35,"AGR","Forereef","PACIFIC",2221,-176.479166666667,0.187499999999991,50.1742160107565
"61","BAK-00298","PRIAs","Baker",2015,2015-02-10,0.18914904,-176.4647825,10.05,"AGR","Forereef","PACIFIC",2222,-176.479166666667,0.187499999999991,52.6501766765723
"62","BAK-00302","PRIAs","Baker",2015,2015-02-09,0.20461039,-176.4734025,16.25,"AGR","Forereef","PACIFIC",2223,-176.479166666667,0.187499999999991,49.290780106383
"63","BAK-00307","PRIAs","Baker",2015,2015-02-08,0.19475268,-176.4628965,11,"AGR","Forereef","PACIFIC",2224,-176.479166666667,0.187499999999991,68.512110793082
"64","BAK-00308","PRIAs","Baker",2015,2015-02-09,0.20290341,-176.468836,10,"AGR","Forereef","PACIFIC",2225,-176.479166666667,0.187499999999991,32.1299638731119
"65","BAK-00313","PRIAs","Baker",2015,2015-02-09,0.19663023,-176.4861789,15,"AGR","Forereef","PACIFIC",2226,-176.479166666667,0.187499999999991,3.20512817461785
"66","BAK-00317","PRIAs","Baker",2015,2015-02-11,0.18835226,-176.4795395,4.1,"AGR","Forereef","PACIFIC",2227,-176.479166666667,0.187499999999991,25.3472221875
"67","BAK-00320","PRIAs","Baker",2015,2015-02-11,0.19661573,-176.4860585,11,"AGR","Forereef","PACIFIC",2228,-176.479166666667,0.187499999999991,5.16605151742215
"68","BAK-00327","PRIAs","Baker",2015,2015-02-09,0.20382743,-176.4784068,4.95,"AGR","Forereef","PACIFIC",2229,-176.479166666667,0.187499999999991,17.9153094462541
"69","BAK-00328","PRIAs","Baker",2015,2015-02-09,0.20411141,-176.480981,5,"PAV","Forereef","PACIFIC",2230,-176.479166666667,0.187499999999991,25.3521126939099
"70","BAK-00329","PRIAs","Baker",2015,2015-02-10,0.20154261,-176.4683993,5,"SAG","Forereef","PACIFIC",2231,-176.479166666667,0.187499999999991,10.5802048319724
"71","BAK-00331","PRIAs","Baker",2015,2015-02-08,0.20099033,-176.4673172,4.65,"AGR","Forereef","PACIFIC",2232,-176.479166666667,0.187499999999991,39.5348837448814
"72","BAK-00333","PRIAs","Baker",2015,2015-02-08,0.19155691,-176.4888638,5.35,"AGR","Forereef","PACIFIC",2233,-176.479166666667,0.187499999999991,11.2318839505356
"73","BAK-00335","PRIAs","Baker",2015,2015-02-08,0.18755045,-176.4717126,3.7,"AGR","Forereef","PACIFIC",2234,-176.479166666667,0.187499999999991,32.5342465538797
"74","BAK-00336","PRIAs","Baker",2015,2015-02-08,0.19619144,-176.4671896,5.1,"AGR","Forereef","PACIFIC",2235,-176.479166666667,0.187499999999991,34.7222221875
"75","BAK-00337","PRIAs","Baker",2015,2015-02-09,0.20351973,-176.4734733,5.4,"AGR","Forereef","PACIFIC",2236,-176.479166666667,0.187499999999991,22.0820189057708
"76","BAK-00350","PRIAs","Baker",2015,2015-02-08,0.19731168,-176.4855493,5.15,"AGR","Forereef","PACIFIC",2237,-176.479166666667,0.187499999999991,6.89655168400714
"77","BAK-00357","PRIAs","Baker",2015,2015-02-09,0.19900599,-176.4848265,21.05,"AGR","Forereef","PACIFIC",2238,-176.479166666667,0.187499999999991,12.4999999330357
"78","BAK-00360","PRIAs","Baker",2015,2015-02-10,0.19208665,-176.4689852,4.05,"AGR","Forereef","PACIFIC",2239,-176.479166666667,0.187499999999991,42.6523296774194
"79","FDP-00115","MARIAN","Farallon de Pajaros",2014,2014-04-26,20.55365159,144.8940233,20.45,"ROB","Forereef","PACIFIC",2240,144.895833333333,20.5625,0
"80","FDP-00116","MARIAN","Farallon de Pajaros",2014,2014-04-26,20.54291471,144.8854266,23,"ROB","Forereef","PACIFIC",2241,144.895833333333,20.5625,4.39189185662436
"81","FDP-00119","MARIAN","Farallon de Pajaros",2014,2014-04-26,20.54625372,144.9048614,21.75,"ROB","Forereef","PACIFIC",2242,144.895833333333,20.5625,1.29449838187702
"82","FDP-00126","MARIAN","Farallon de Pajaros",2014,2014-04-26,20.53818908,144.8997206,15.3,"AGR","Forereef","PACIFIC",2243,144.895833333333,20.5208333333333,22.9965155104469
"83","FDP-00130","MARIAN","Farallon de Pajaros",2014,2014-04-26,20.54999775,144.8863861,12.9,"ROB","Forereef","PACIFIC",2244,144.895833333333,20.5625,3.600000038272
"84","FDP-00132","MARIAN","Farallon de Pajaros",2014,2014-04-26,20.55010588,144.902397,17.1,"ROB","Forereef","PACIFIC",2245,144.895833333333,20.5625,1.77304967896484
"85","FDP-00134","MARIAN","Farallon de Pajaros",2014,2014-04-26,20.53514594,144.8929815,14.6,"ROB","Forereef","PACIFIC",2246,144.895833333333,20.5208333333333,13.4328358536422
"86","FDP-00135","MARIAN","Farallon de Pajaros",2014,2014-04-26,20.53674554,144.8870981,10.75,"ROB","Forereef","PACIFIC",2247,144.895833333333,20.5208333333333,17.931034545541
"87","FDP-00144","MARIAN","Farallon de Pajaros",2014,2014-04-26,20.5435913,144.9027083,10.55,"ROB","Forereef","PACIFIC",2248,144.895833333333,20.5625,1.04895108936867
"88","FDP-00146","MARIAN","Farallon de Pajaros",2014,2014-04-26,20.5474344,144.8860071,5.85,"ROB","Forereef","PACIFIC",2249,144.895833333333,20.5625,1.05263162072022
"89","FDP-00152","MARIAN","Farallon de Pajaros",2014,2014-04-26,20.53621246,144.8908186,5.8,"ROB","Forereef","PACIFIC",2250,144.895833333333,20.5208333333333,0
"90","FFS-01012","NWHI","French Frigate",2016,2016-09-27,23.778698,-166.164036,2.7,"AGR","Lagoon","PACIFIC",2251,-166.145833333333,23.7708333333333,2.69360272455192
"91","FFS-01015","NWHI","French Frigate",2016,2016-09-27,23.733424,-166.163069,2.25,"RRB","Lagoon","PACIFIC",2252,-166.145833333333,23.7291666666667,0
"92","FFS-01018","NWHI","French Frigate",2016,2016-09-27,23.819997,-166.143617,3.8,"RRB","Lagoon","PACIFIC",2253,-166.145833333333,23.8125,0.671140873384082
"93","FFS-01025","NWHI","French Frigate",2016,2016-09-26,23.871397,-166.32988,26.95,"AGR","Forereef","PACIFIC",2254,-166.3125,23.8541666666667,50.1639344035689
"94","FFS-01027","NWHI","French Frigate",2016,2016-09-26,23.865215,-166.345607,23.35,"SAG","Protected Slope","PACIFIC",2255,-166.354166666667,23.8541666666667,13.8513513944942
"95","FFS-01028","NWHI","French Frigate",2016,2016-09-03,23.831415,-166.324674,23.4,"APR","Protected Slope","PACIFIC",2256,-166.3125,23.8125,29.431438008501
"96","FFS-01034","NWHI","French Frigate",2016,2016-09-27,23.723614,-166.21222,12.9,"AGR","Protected Slope","PACIFIC",2257,-166.229166666667,23.7291666666667,60.6779660917208
"97","FFS-01035","NWHI","French Frigate",2016,2016-09-26,23.815785,-166.295977,20.65,"AGR","Protected Slope","PACIFIC",2258,-166.3125,23.8125,61.9631901641763
"98","FFS-01036","NWHI","French Frigate",2016,2016-09-27,23.706773,-166.206528,13.4,"APR","Protected Slope","PACIFIC",2259,-166.1875,23.6875,62.2775800396398
"99","FFS-01037","NWHI","French Frigate",2016,2016-09-02,23.688787,-166.214717,20.35,"APR","Protected Slope","PACIFIC",2260,-166.229166666667,23.6875,36.9863013177895
"100","FFS-01041","NWHI","French Frigate",2016,2016-09-02,23.713665,-166.219534,23,"AGR","Protected Slope","PACIFIC",2261,-166.229166666667,23.7291666666667,35.7142857507289
"101","FFS-01046","NWHI","French Frigate",2016,2016-09-26,23.818228,-166.315278,28.25,"RRB","Protected Slope","PACIFIC",2262,-166.3125,23.8125,0
"102","FFS-01048","NWHI","French Frigate",2016,2016-09-26,23.830298,-166.354734,26.8,"AGR","Protected Slope","PACIFIC",2263,-166.354166666667,23.8125,45.0980392156863
"103","FFS-01061","NWHI","French Frigate",2016,2016-09-03,23.7737503,-166.2486305,18.9,"APS","Protected Slope","PACIFIC",2264,-166.229166666667,23.7708333333333,46.9387755581008
"104","FFS-01062","NWHI","French Frigate",2016,2016-09-26,23.858306,-166.331992,11,"AGR","Forereef","PACIFIC",2265,-166.3125,23.8541666666667,53.020134226161
"105","FFS-01064","NWHI","French Frigate",2016,2016-09-24,23.725202,-166.053528,9.8,"AGR","Forereef","PACIFIC",2266,-166.0625,23.7291666666667,1.35135131711103
"106","FFS-01069","NWHI","French Frigate",2016,2016-09-24,23.873888,-166.073888,13.75,"PAV","Forereef","PACIFIC",2267,-166.0625,23.8541666666667,1.4134275172995
"107","FFS-01070","NWHI","French Frigate",2016,2016-09-25,23.871681,-166.206675,12.5,"SAG","Forereef","PACIFIC",2268,-166.1875,23.8541666666667,13.3561644771533
"108","FFS-01071","NWHI","French Frigate",2016,2016-09-24,23.748319,-166.055494,11.9,"RRB","Forereef","PACIFIC",2269,-166.0625,23.7291666666667,2.60586313462212
"109","FFS-01073","NWHI","French Frigate",2016,2016-09-24,23.782244,-166.064935,12.1,"AGR","Forereef","PACIFIC",2270,-166.0625,23.7708333333333,8.44594591786888
"110","FFS-01076","NWHI","French Frigate",2016,2016-09-27,23.79199,-166.14426,8.2,"RRB","Lagoon","PACIFIC",2271,-166.145833333333,23.8125,0.6666667
"111","FFS-01086","NWHI","French Frigate",2016,2016-09-25,23.880939,-166.269044,10.95,"SAG","Forereef","PACIFIC",2272,-166.270833333333,23.8958333333333,14.6258503210468
"112","FFS-01088","NWHI","French Frigate",2016,2016-09-24,23.829417,-166.109599,12.8,"AGR","Forereef","PACIFIC",2273,-166.104166666667,23.8125,7.87671235761869
"113","FFS-01089","NWHI","French Frigate",2016,2016-09-24,23.690215,-166.066574,10.2,"AGR","Forereef","PACIFIC",2274,-166.0625,23.6875,2.8125
"114","FFS-01090","NWHI","French Frigate",2016,2016-09-25,23.875131,-166.299507,13.05,"AGR","Forereef","PACIFIC",2275,-166.3125,23.8958333333333,10.8013937941459
"115","FFS-01091","NWHI","French Frigate",2016,2016-09-01,23.626821,-166.113943,12.05,"PAV","Forereef","PACIFIC",2276,-166.104166666667,23.6458333333333,3.26797380787304
"116","FFS-01092","NWHI","French Frigate",2016,2016-09-01,23.624255,-166.133696,11.85,"PAV","Forereef","PACIFIC",2277,-166.145833333333,23.6041666666667,1.36518757772368
"117","FFS-01093","NWHI","French Frigate",2016,2016-09-25,23.883236,-166.251689,15.8,"AGR","Forereef","PACIFIC",2278,-166.270833333333,23.8958333333333,15.3061224489796
"118","FFS-01094","NWHI","French Frigate",2016,2016-09-01,23.635948,-166.194727,13.95,"RRB","Protected Slope","PACIFIC",2279,-166.1875,23.6458333333333,5.59440556139664
"119","FFS-01095","NWHI","French Frigate",2016,2016-09-25,23.881739,-166.230705,10.55,"SAG","Forereef","PACIFIC",2280,-166.229166666667,23.8958333333333,12.720848052554
"120","FFS-01097","NWHI","French Frigate",2016,2016-09-25,23.863206,-166.18819,13.95,"AGR","Forereef","PACIFIC",2281,-166.1875,23.8541666666667,1.01010091011121
"121","FFS-01104","NWHI","French Frigate",2016,2016-09-27,23.809201,-166.180562,9.4,"APR","Lagoon","PACIFIC",2282,-166.1875,23.8125,46.73539520282
"122","FFS-01107","NWHI","French Frigate",2016,2016-09-27,23.775441,-166.173611,8.05,"APR","Lagoon","PACIFIC",2283,-166.1875,23.7708333333333,38.8489208912582
"123","FFS-01108","NWHI","French Frigate",2016,2016-09-03,23.80577495,-166.253703,8.65,"APS","Protected Slope","PACIFIC",2284,-166.270833333333,23.8125,33.6734694221158
"124","FFS-01111","NWHI","French Frigate",2016,2016-09-25,23.863528,-166.198914,4.15,"AGR","Forereef","PACIFIC",2285,-166.1875,23.8541666666667,4.86111104673032
"125","FFS-01114","NWHI","French Frigate",2016,2016-09-24,23.809284,-166.089529,4.7,"AGR","Forereef","PACIFIC",2286,-166.104166666667,23.8125,3.19148936509733
"126","FFS-01119","NWHI","French Frigate",2016,2016-09-26,23.876965,-166.293968,11.25,"AGR","Forereef","PACIFIC",2287,-166.3125,23.8958333333333,19.1919191919192
"127","FFS-01121","NWHI","French Frigate",2016,2016-09-01,23.635364,-166.159037,5.1,"PAV","Forereef","PACIFIC",2288,-166.145833333333,23.6458333333333,0
"128","FFS-01122","NWHI","French Frigate",2016,2016-09-25,23.876125,-166.281871,4.55,"PAV","Forereef","PACIFIC",2289,-166.270833333333,23.8958333333333,0
"129","FFS-01123","NWHI","French Frigate",2016,2016-09-03,23.77439311,-166.2514869,13.5,"APS","Protected Slope","PACIFIC",2290,-166.270833333333,23.7708333333333,50.8417508080808
"130","FFS-01124","NWHI","French Frigate",2016,2016-09-03,23.745109,-166.214221,15.3,"AGR","Protected Slope","PACIFIC",2291,-166.229166666667,23.7291666666667,53.6423841657822
"131","FFS-01125","NWHI","French Frigate",2016,2016-09-02,23.696513,-166.192008,19,"AGR","Protected Slope","PACIFIC",2292,-166.1875,23.6875,39.1459076017274
"132","FFS-01126","NWHI","French Frigate",2016,2016-09-02,23.726281,-166.194359,11.1,"AGR","Protected Slope","PACIFIC",2293,-166.1875,23.7291666666667,61.6541353085816
"133","FFS-01127","NWHI","French Frigate",2016,2016-09-03,23.835458,-166.320242,18.25,"AGR","Protected Slope","PACIFIC",2294,-166.3125,23.8541666666667,63.8795986663684
"134","FFS-01131","NWHI","French Frigate",2016,2016-09-25,23.855185,-166.157656,22.15,"AGR","Forereef","PACIFIC",2295,-166.145833333333,23.8541666666667,12.2866893383732
"135","FFS-01132","NWHI","French Frigate",2016,2016-09-24,23.821135,-166.09477,19.8,"AGR","Forereef","PACIFIC",2296,-166.104166666667,23.8125,1.70648457454368
"136","FFS-01137","NWHI","French Frigate",2016,2016-09-03,23.769163,-166.265237,18.9,"AGR","Protected Slope","PACIFIC",2297,-166.270833333333,23.7708333333333,40.4040403846546
"137","FGBNMS-1","FGBNMS",NA,2013,2013-09-02,27.9098014,-93.599206,22.4028,"HR",NA,"CARIB",NA,NA,NA,72
"138","FGBNMS-10","FGBNMS",NA,2013,2013-09-02,27.9093522,-93.598695,19.5072,"HR",NA,"CARIB",NA,NA,NA,47
"139","FGBNMS-100","FGBNMS",NA,2015,2015-08-28,27.9084318,-93.602755,27.1272,"HR",NA,"CARIB",NA,NA,NA,50
"140","FGBNMS-101","FGBNMS",NA,2015,2015-08-24,27.9093345,-93.60276,28.4988,"HR",NA,"CARIB",NA,NA,NA,86
"141","FGBNMS-102","FGBNMS",NA,2015,2015-08-24,27.9097859,-93.602762,29.1084,"HR",NA,"CARIB",NA,NA,NA,67
"142","FGBNMS-103","FGBNMS",NA,2015,2015-08-28,27.9197155,-93.602817,30.7848,"HR",NA,"CARIB",NA,NA,NA,79
"143","FGBNMS-104","FGBNMS",NA,2015,2015-08-24,27.9079827,-93.602244,26.5176,"HR",NA,"CARIB",NA,NA,NA,70.408163259
"144","FGBNMS-105","FGBNMS",NA,2015,2015-08-24,27.909339,-93.601744,23.7744,"HR",NA,"CARIB",NA,NA,NA,67.647058824
"145","FGBNMS-106","FGBNMS",NA,2015,2015-08-24,27.9102439,-93.60124,29.4132,"HR",NA,"CARIB",NA,NA,NA,90
"146","FGBNMS-107","FGBNMS",NA,2015,2015-08-24,27.9084407,-93.600722,23.3172,"HR",NA,"CARIB",NA,NA,NA,68.686868681
"147","FGBNMS-108","FGBNMS",NA,2015,2015-08-24,27.909797,-93.600222,22.2504,"HR",NA,"CARIB",NA,NA,NA,69.696969691
"148","FGBNMS-109","FGBNMS",NA,2015,2015-08-24,27.9116023,-93.600232,24.9936,"HR",NA,"CARIB",NA,NA,NA,63.366336639
"149","FGBNMS-11","FGBNMS",NA,2013,2013-09-03,27.9066353,-93.600712,27.1272,"HR",NA,"CARIB",NA,NA,NA,76
"150","FGBNMS-110","FGBNMS",NA,2015,2015-08-24,27.9061884,-93.599694,24.8412,"HR",NA,"CARIB",NA,NA,NA,74
"151","FGBNMS-111","FGBNMS",NA,2015,2015-08-27,27.9107019,-93.599719,21.9456,"HR",NA,"CARIB",NA,NA,NA,64.646464644
"152","FGBNMS-112","FGBNMS",NA,2015,2015-08-27,27.9057393,-93.599183,26.3652,"HR",NA,"CARIB",NA,NA,NA,81
"153","FGBNMS-113","FGBNMS",NA,2015,2015-08-27,27.9088987,-93.599201,22.86,"HR",NA,"CARIB",NA,NA,NA,66.336633668
"154","FGBNMS-114","FGBNMS",NA,2015,2015-08-28,27.9125095,-93.599221,25.6032,"HR",NA,"CARIB",NA,NA,NA,53
"155","FGBNMS-115","FGBNMS",NA,2015,2015-08-27,27.9070955,-93.598683,26.9748,"HR",NA,"CARIB",NA,NA,NA,76
"156","FGBNMS-116","FGBNMS",NA,2015,2015-08-27,27.9098036,-93.598698,21.1836,"HR",NA,"CARIB",NA,NA,NA,58
"157","FGBNMS-117","FGBNMS",NA,2015,2015-08-27,27.9102549,-93.5987,21.0312,"HR",NA,"CARIB",NA,NA,NA,56
"158","FGBNMS-118","FGBNMS",NA,2015,2015-08-27,27.9048432,-93.597654,28.6512,"HR",NA,"CARIB",NA,NA,NA,76
"159","FGBNMS-119","FGBNMS",NA,2015,2015-08-24,27.9061972,-93.597662,27.432,"HR",NA,"CARIB",NA,NA,NA,69.3069307
