"","n_cells_null","n_cells_sum","scale","null_percentage"
"138",11,89,"Cross-basin",12.3595505617978
"139",9,89,"Cross-basin",10.1123595505618
"140",13,89,"Cross-basin",14.6067415730337
"141",8,89,"Cross-basin",8.98876404494382
"142",13,89,"Cross-basin",14.6067415730337
"143",11,89,"Cross-basin",12.3595505617978
"144",11,89,"Cross-basin",12.3595505617978
"145",11,89,"Cross-basin",12.3595505617978
"146",11,89,"Cross-basin",12.3595505617978
"147",16,89,"Cross-basin",17.9775280898876
"148",11,89,"Cross-basin",12.3595505617978
"149",12,89,"Cross-basin",13.4831460674157
"150",8,89,"Cross-basin",8.98876404494382
"151",11,89,"Cross-basin",12.3595505617978
"152",12,89,"Cross-basin",13.4831460674157
"153",13,89,"Cross-basin",14.6067415730337
"154",14,89,"Cross-basin",15.7303370786517
"155",16,89,"Cross-basin",17.9775280898876
"156",12,89,"Cross-basin",13.4831460674157
"157",9,89,"Cross-basin",10.1123595505618
"158",8,89,"Cross-basin",8.98876404494382
"159",15,89,"Cross-basin",16.8539325842697
"160",5,89,"Cross-basin",5.61797752808989
"161",13,89,"Cross-basin",14.6067415730337
"162",13,89,"Cross-basin",14.6067415730337
"163",15,89,"Cross-basin",16.8539325842697
"164",15,89,"Cross-basin",16.8539325842697
"165",5,89,"Cross-basin",5.61797752808989
"166",15,89,"Cross-basin",16.8539325842697
"167",9,89,"Cross-basin",10.1123595505618
"168",13,89,"Cross-basin",14.6067415730337
"169",19,89,"Cross-basin",21.3483146067416
"170",6,89,"Cross-basin",6.74157303370786
"171",11,89,"Cross-basin",12.3595505617978
"172",13,89,"Cross-basin",14.6067415730337
"173",7,89,"Cross-basin",7.86516853932584
"174",11,89,"Cross-basin",12.3595505617978
"175",11,89,"Cross-basin",12.3595505617978
"176",8,89,"Cross-basin",8.98876404494382
"177",12,89,"Cross-basin",13.4831460674157
"178",17,89,"Cross-basin",19.1011235955056
"179",15,89,"Cross-basin",16.8539325842697
"180",8,89,"Cross-basin",8.98876404494382
"181",12,89,"Cross-basin",13.4831460674157
"182",12,89,"Cross-basin",13.4831460674157
"183",6,89,"Cross-basin",6.74157303370786
"184",11,89,"Cross-basin",12.3595505617978
"185",16,89,"Cross-basin",17.9775280898876
"186",13,89,"Cross-basin",14.6067415730337
"187",10,89,"Cross-basin",11.2359550561798
"188",10,89,"Cross-basin",11.2359550561798
"189",14,89,"Cross-basin",15.7303370786517
"190",10,89,"Cross-basin",11.2359550561798
"191",10,89,"Cross-basin",11.2359550561798
"192",13,89,"Cross-basin",14.6067415730337
"193",11,89,"Cross-basin",12.3595505617978
"194",11,89,"Cross-basin",12.3595505617978
"195",8,89,"Cross-basin",8.98876404494382
"196",16,89,"Cross-basin",17.9775280898876
"197",11,89,"Cross-basin",12.3595505617978
"198",12,89,"Cross-basin",13.4831460674157
"199",11,89,"Cross-basin",12.3595505617978
"200",12,89,"Cross-basin",13.4831460674157
"201",12,89,"Cross-basin",13.4831460674157
"202",8,89,"Cross-basin",8.98876404494382
"203",15,89,"Cross-basin",16.8539325842697
"204",6,89,"Cross-basin",6.74157303370786
"205",13,89,"Cross-basin",14.6067415730337
"206",13,89,"Cross-basin",14.6067415730337
"207",12,89,"Cross-basin",13.4831460674157
"208",15,89,"Cross-basin",16.8539325842697
"209",11,89,"Cross-basin",12.3595505617978
"210",10,89,"Cross-basin",11.2359550561798
"211",11,89,"Cross-basin",12.3595505617978
"212",11,89,"Cross-basin",12.3595505617978
"213",15,89,"Cross-basin",16.8539325842697
"214",14,89,"Cross-basin",15.7303370786517
"215",4,89,"Cross-basin",4.49438202247191
"216",9,89,"Cross-basin",10.1123595505618
"217",13,89,"Cross-basin",14.6067415730337
"218",14,89,"Cross-basin",15.7303370786517
"219",12,89,"Cross-basin",13.4831460674157
"220",6,89,"Cross-basin",6.74157303370786
"221",8,89,"Cross-basin",8.98876404494382
"222",11,89,"Cross-basin",12.3595505617978
"223",10,89,"Cross-basin",11.2359550561798
"224",10,89,"Cross-basin",11.2359550561798
"225",9,89,"Cross-basin",10.1123595505618
"226",12,89,"Cross-basin",13.4831460674157
"227",17,89,"Cross-basin",19.1011235955056
"228",7,89,"Cross-basin",7.86516853932584
"229",10,89,"Cross-basin",11.2359550561798
"230",15,89,"Cross-basin",16.8539325842697
"231",6,89,"Cross-basin",6.74157303370786
"232",9,89,"Cross-basin",10.1123595505618
"233",12,89,"Cross-basin",13.4831460674157
"234",6,89,"Cross-basin",6.74157303370786
"235",12,89,"Cross-basin",13.4831460674157
"236",13,89,"Cross-basin",14.6067415730337
"237",14,89,"Cross-basin",15.7303370786517
"238",16,89,"Cross-basin",17.9775280898876
"239",9,89,"Cross-basin",10.1123595505618
"240",9,89,"Cross-basin",10.1123595505618
"241",19,89,"Cross-basin",21.3483146067416
"242",9,89,"Cross-basin",10.1123595505618
"243",9,89,"Cross-basin",10.1123595505618
"244",11,89,"Cross-basin",12.3595505617978
"245",10,89,"Cross-basin",11.2359550561798
"246",14,89,"Cross-basin",15.7303370786517
"247",10,89,"Cross-basin",11.2359550561798
"248",12,89,"Cross-basin",13.4831460674157
"249",8,89,"Cross-basin",8.98876404494382
"250",9,89,"Cross-basin",10.1123595505618
"251",10,89,"Cross-basin",11.2359550561798
"252",12,89,"Cross-basin",13.4831460674157
"253",15,89,"Cross-basin",16.8539325842697
"254",14,89,"Cross-basin",15.7303370786517
"255",11,89,"Cross-basin",12.3595505617978
"256",12,89,"Cross-basin",13.4831460674157
"257",14,89,"Cross-basin",15.7303370786517
"258",10,89,"Cross-basin",11.2359550561798
"259",15,89,"Cross-basin",16.8539325842697
"260",11,89,"Cross-basin",12.3595505617978
"261",11,89,"Cross-basin",12.3595505617978
"262",8,89,"Cross-basin",8.98876404494382
"263",14,89,"Cross-basin",15.7303370786517
"264",10,89,"Cross-basin",11.2359550561798
"265",9,89,"Cross-basin",10.1123595505618
"266",11,89,"Cross-basin",12.3595505617978
"267",8,89,"Cross-basin",8.98876404494382
"268",7,89,"Cross-basin",7.86516853932584
"269",8,89,"Cross-basin",8.98876404494382
"270",13,89,"Cross-basin",14.6067415730337
"271",16,89,"Cross-basin",17.9775280898876
"272",15,89,"Cross-basin",16.8539325842697
"273",10,89,"Cross-basin",11.2359550561798
"274",15,89,"Cross-basin",16.8539325842697
"275",10,89,"Cross-basin",11.2359550561798
"276",9,89,"Cross-basin",10.1123595505618
"277",8,89,"Cross-basin",8.98876404494382
"278",12,89,"Cross-basin",13.4831460674157
"279",9,89,"Cross-basin",10.1123595505618
"280",12,89,"Cross-basin",13.4831460674157
"281",15,89,"Cross-basin",16.8539325842697
"282",17,89,"Cross-basin",19.1011235955056
"283",18,89,"Cross-basin",20.2247191011236
"284",11,89,"Cross-basin",12.3595505617978
"285",19,89,"Cross-basin",21.3483146067416
"286",12,89,"Cross-basin",13.4831460674157
"287",15,89,"Cross-basin",16.8539325842697
"288",11,89,"Cross-basin",12.3595505617978
"289",8,89,"Cross-basin",8.98876404494382
"290",10,89,"Cross-basin",11.2359550561798
"291",15,89,"Cross-basin",16.8539325842697
"292",9,89,"Cross-basin",10.1123595505618
"293",9,89,"Cross-basin",10.1123595505618
"294",16,89,"Cross-basin",17.9775280898876
"295",11,89,"Cross-basin",12.3595505617978
"296",13,89,"Cross-basin",14.6067415730337
"297",8,89,"Cross-basin",8.98876404494382
"298",10,89,"Cross-basin",11.2359550561798
"299",11,89,"Cross-basin",12.3595505617978
"300",17,89,"Cross-basin",19.1011235955056
"301",11,89,"Cross-basin",12.3595505617978
"302",9,89,"Cross-basin",10.1123595505618
"303",14,89,"Cross-basin",15.7303370786517
"304",14,89,"Cross-basin",15.7303370786517
"305",10,89,"Cross-basin",11.2359550561798
"306",14,89,"Cross-basin",15.7303370786517
"307",10,89,"Cross-basin",11.2359550561798
"308",12,89,"Cross-basin",13.4831460674157
"309",10,89,"Cross-basin",11.2359550561798
"310",10,89,"Cross-basin",11.2359550561798
"311",12,89,"Cross-basin",13.4831460674157
"312",16,89,"Cross-basin",17.9775280898876
"313",7,89,"Cross-basin",7.86516853932584
"314",7,89,"Cross-basin",7.86516853932584
"315",9,89,"Cross-basin",10.1123595505618
"316",14,89,"Cross-basin",15.7303370786517
"317",15,89,"Cross-basin",16.8539325842697
"318",12,89,"Cross-basin",13.4831460674157
"319",8,89,"Cross-basin",8.98876404494382
"320",8,89,"Cross-basin",8.98876404494382
"321",12,89,"Cross-basin",13.4831460674157
"322",13,89,"Cross-basin",14.6067415730337
"323",15,89,"Cross-basin",16.8539325842697
"324",10,89,"Cross-basin",11.2359550561798
"325",11,89,"Cross-basin",12.3595505617978
"326",10,89,"Cross-basin",11.2359550561798
"327",13,89,"Cross-basin",14.6067415730337
"328",11,89,"Cross-basin",12.3595505617978
"329",7,89,"Cross-basin",7.86516853932584
"330",13,89,"Cross-basin",14.6067415730337
"331",10,89,"Cross-basin",11.2359550561798
"332",17,89,"Cross-basin",19.1011235955056
"333",9,89,"Cross-basin",10.1123595505618
"334",15,89,"Cross-basin",16.8539325842697
"335",14,89,"Cross-basin",15.7303370786517
"336",14,89,"Cross-basin",15.7303370786517
"337",12,89,"Cross-basin",13.4831460674157
"338",11,89,"Cross-basin",12.3595505617978
"339",9,89,"Cross-basin",10.1123595505618
"340",10,89,"Cross-basin",11.2359550561798
"341",14,89,"Cross-basin",15.7303370786517
"342",14,89,"Cross-basin",15.7303370786517
"343",7,89,"Cross-basin",7.86516853932584
"344",14,89,"Cross-basin",15.7303370786517
"345",15,89,"Cross-basin",16.8539325842697
"346",8,89,"Cross-basin",8.98876404494382
"347",12,89,"Cross-basin",13.4831460674157
"348",10,89,"Cross-basin",11.2359550561798
"349",10,89,"Cross-basin",11.2359550561798
"350",10,89,"Cross-basin",11.2359550561798
"351",11,89,"Cross-basin",12.3595505617978
"352",12,89,"Cross-basin",13.4831460674157
"353",17,89,"Cross-basin",19.1011235955056
"354",14,89,"Cross-basin",15.7303370786517
"355",10,89,"Cross-basin",11.2359550561798
"356",9,89,"Cross-basin",10.1123595505618
"357",9,89,"Cross-basin",10.1123595505618
"358",9,89,"Cross-basin",10.1123595505618
"359",9,89,"Cross-basin",10.1123595505618
"360",14,89,"Cross-basin",15.7303370786517
"361",13,89,"Cross-basin",14.6067415730337
"362",8,89,"Cross-basin",8.98876404494382
"363",15,89,"Cross-basin",16.8539325842697
"364",7,89,"Cross-basin",7.86516853932584
"365",12,89,"Cross-basin",13.4831460674157
"366",14,89,"Cross-basin",15.7303370786517
"367",12,89,"Cross-basin",13.4831460674157
"368",8,89,"Cross-basin",8.98876404494382
"369",9,89,"Cross-basin",10.1123595505618
"370",13,89,"Cross-basin",14.6067415730337
"371",12,89,"Cross-basin",13.4831460674157
"372",5,89,"Cross-basin",5.61797752808989
"373",11,89,"Cross-basin",12.3595505617978
"374",9,89,"Cross-basin",10.1123595505618
"375",18,89,"Cross-basin",20.2247191011236
"376",8,89,"Cross-basin",8.98876404494382
"377",13,89,"Cross-basin",14.6067415730337
"378",10,89,"Cross-basin",11.2359550561798
"379",16,89,"Cross-basin",17.9775280898876
"380",10,89,"Cross-basin",11.2359550561798
"381",12,89,"Cross-basin",13.4831460674157
"382",15,89,"Cross-basin",16.8539325842697
"383",8,89,"Cross-basin",8.98876404494382
"384",17,89,"Cross-basin",19.1011235955056
"385",9,89,"Cross-basin",10.1123595505618
"386",11,89,"Cross-basin",12.3595505617978
"387",13,89,"Cross-basin",14.6067415730337
"388",15,89,"Cross-basin",16.8539325842697
"389",8,89,"Cross-basin",8.98876404494382
"390",12,89,"Cross-basin",13.4831460674157
"391",14,89,"Cross-basin",15.7303370786517
"392",11,89,"Cross-basin",12.3595505617978
"393",13,89,"Cross-basin",14.6067415730337
"394",13,89,"Cross-basin",14.6067415730337
"395",10,89,"Cross-basin",11.2359550561798
"396",12,89,"Cross-basin",13.4831460674157
"397",11,89,"Cross-basin",12.3595505617978
"398",11,89,"Cross-basin",12.3595505617978
"399",11,89,"Cross-basin",12.3595505617978
"400",12,89,"Cross-basin",13.4831460674157
"401",9,89,"Cross-basin",10.1123595505618
"402",9,89,"Cross-basin",10.1123595505618
"403",6,89,"Cross-basin",6.74157303370786
"404",16,89,"Cross-basin",17.9775280898876
"405",13,89,"Cross-basin",14.6067415730337
"406",12,89,"Cross-basin",13.4831460674157
"407",11,89,"Cross-basin",12.3595505617978
"408",12,89,"Cross-basin",13.4831460674157
"409",17,89,"Cross-basin",19.1011235955056
"410",8,89,"Cross-basin",8.98876404494382
"411",14,89,"Cross-basin",15.7303370786517
"412",13,89,"Cross-basin",14.6067415730337
"413",9,89,"Cross-basin",10.1123595505618
"414",10,89,"Cross-basin",11.2359550561798
"415",10,89,"Cross-basin",11.2359550561798
"416",10,89,"Cross-basin",11.2359550561798
"417",6,89,"Cross-basin",6.74157303370786
"418",13,89,"Cross-basin",14.6067415730337
"419",9,89,"Cross-basin",10.1123595505618
"420",11,89,"Cross-basin",12.3595505617978
"421",12,89,"Cross-basin",13.4831460674157
"422",9,89,"Cross-basin",10.1123595505618
"423",12,89,"Cross-basin",13.4831460674157
"424",8,89,"Cross-basin",8.98876404494382
"425",19,89,"Cross-basin",21.3483146067416
"426",13,89,"Cross-basin",14.6067415730337
"427",11,89,"Cross-basin",12.3595505617978
"428",12,89,"Cross-basin",13.4831460674157
"429",5,89,"Cross-basin",5.61797752808989
"430",16,89,"Cross-basin",17.9775280898876
"431",16,89,"Cross-basin",17.9775280898876
"432",11,89,"Cross-basin",12.3595505617978
"433",12,89,"Cross-basin",13.4831460674157
"434",9,89,"Cross-basin",10.1123595505618
"435",9,89,"Cross-basin",10.1123595505618
"436",11,89,"Cross-basin",12.3595505617978
"437",7,89,"Cross-basin",7.86516853932584
"438",13,89,"Cross-basin",14.6067415730337
"439",11,89,"Cross-basin",12.3595505617978
"440",10,89,"Cross-basin",11.2359550561798
"441",8,89,"Cross-basin",8.98876404494382
"442",15,89,"Cross-basin",16.8539325842697
"443",18,89,"Cross-basin",20.2247191011236
"444",15,89,"Cross-basin",16.8539325842697
"445",9,89,"Cross-basin",10.1123595505618
"446",9,89,"Cross-basin",10.1123595505618
"447",12,89,"Cross-basin",13.4831460674157
"448",13,89,"Cross-basin",14.6067415730337
"449",6,89,"Cross-basin",6.74157303370786
"450",14,89,"Cross-basin",15.7303370786517
"451",7,89,"Cross-basin",7.86516853932584
"452",13,89,"Cross-basin",14.6067415730337
"453",9,89,"Cross-basin",10.1123595505618
"454",12,89,"Cross-basin",13.4831460674157
"455",13,89,"Cross-basin",14.6067415730337
"456",15,89,"Cross-basin",16.8539325842697
"457",14,89,"Cross-basin",15.7303370786517
"458",15,89,"Cross-basin",16.8539325842697
"459",11,89,"Cross-basin",12.3595505617978
"460",15,89,"Cross-basin",16.8539325842697
"461",7,89,"Cross-basin",7.86516853932584
"462",10,89,"Cross-basin",11.2359550561798
"463",15,89,"Cross-basin",16.8539325842697
"464",19,89,"Cross-basin",21.3483146067416
"465",16,89,"Cross-basin",17.9775280898876
"466",11,89,"Cross-basin",12.3595505617978
"467",17,89,"Cross-basin",19.1011235955056
"468",9,89,"Cross-basin",10.1123595505618
"469",11,89,"Cross-basin",12.3595505617978
"470",7,89,"Cross-basin",7.86516853932584
"471",13,89,"Cross-basin",14.6067415730337
"472",10,89,"Cross-basin",11.2359550561798
"473",11,89,"Cross-basin",12.3595505617978
"474",12,89,"Cross-basin",13.4831460674157
"475",8,89,"Cross-basin",8.98876404494382
"476",9,89,"Cross-basin",10.1123595505618
"477",16,89,"Cross-basin",17.9775280898876
"478",13,89,"Cross-basin",14.6067415730337
"479",9,89,"Cross-basin",10.1123595505618
"480",10,89,"Cross-basin",11.2359550561798
"481",9,89,"Cross-basin",10.1123595505618
"482",11,89,"Cross-basin",12.3595505617978
"483",12,89,"Cross-basin",13.4831460674157
"484",13,89,"Cross-basin",14.6067415730337
"485",13,89,"Cross-basin",14.6067415730337
"486",13,89,"Cross-basin",14.6067415730337
"487",11,89,"Cross-basin",12.3595505617978
"488",10,89,"Cross-basin",11.2359550561798
"489",13,89,"Cross-basin",14.6067415730337
"490",10,89,"Cross-basin",11.2359550561798
"491",6,89,"Cross-basin",6.74157303370786
"492",13,89,"Cross-basin",14.6067415730337
"493",17,89,"Cross-basin",19.1011235955056
"494",10,89,"Cross-basin",11.2359550561798
"495",13,89,"Cross-basin",14.6067415730337
"496",10,89,"Cross-basin",11.2359550561798
"497",15,89,"Cross-basin",16.8539325842697
"498",11,89,"Cross-basin",12.3595505617978
"499",14,89,"Cross-basin",15.7303370786517
"500",8,89,"Cross-basin",8.98876404494382
"501",11,89,"Cross-basin",12.3595505617978
"502",21,89,"Cross-basin",23.5955056179775
"503",17,89,"Cross-basin",19.1011235955056
"504",19,89,"Cross-basin",21.3483146067416
"505",10,89,"Cross-basin",11.2359550561798
"506",11,89,"Cross-basin",12.3595505617978
"507",20,89,"Cross-basin",22.4719101123595
"508",8,89,"Cross-basin",8.98876404494382
"509",18,89,"Cross-basin",20.2247191011236
"510",12,89,"Cross-basin",13.4831460674157
"511",11,89,"Cross-basin",12.3595505617978
"512",10,89,"Cross-basin",11.2359550561798
"513",10,89,"Cross-basin",11.2359550561798
"514",10,89,"Cross-basin",11.2359550561798
"515",18,89,"Cross-basin",20.2247191011236
"516",5,89,"Cross-basin",5.61797752808989
"517",11,89,"Cross-basin",12.3595505617978
"518",14,89,"Cross-basin",15.7303370786517
"519",12,89,"Cross-basin",13.4831460674157
"520",9,89,"Cross-basin",10.1123595505618
"521",12,89,"Cross-basin",13.4831460674157
"522",11,89,"Cross-basin",12.3595505617978
"523",8,89,"Cross-basin",8.98876404494382
"524",9,89,"Cross-basin",10.1123595505618
"525",11,89,"Cross-basin",12.3595505617978
"526",14,89,"Cross-basin",15.7303370786517
"527",10,89,"Cross-basin",11.2359550561798
"528",12,89,"Cross-basin",13.4831460674157
"529",10,89,"Cross-basin",11.2359550561798
"530",12,89,"Cross-basin",13.4831460674157
"531",11,89,"Cross-basin",12.3595505617978
"532",13,89,"Cross-basin",14.6067415730337
"533",16,89,"Cross-basin",17.9775280898876
"534",8,89,"Cross-basin",8.98876404494382
"535",8,89,"Cross-basin",8.98876404494382
"536",10,89,"Cross-basin",11.2359550561798
"537",8,89,"Cross-basin",8.98876404494382
"538",6,89,"Cross-basin",6.74157303370786
"539",17,89,"Cross-basin",19.1011235955056
"540",10,89,"Cross-basin",11.2359550561798
"541",13,89,"Cross-basin",14.6067415730337
"542",15,89,"Cross-basin",16.8539325842697
"543",8,89,"Cross-basin",8.98876404494382
"544",11,89,"Cross-basin",12.3595505617978
"545",10,89,"Cross-basin",11.2359550561798
"546",14,89,"Cross-basin",15.7303370786517
"547",16,89,"Cross-basin",17.9775280898876
"548",9,89,"Cross-basin",10.1123595505618
"549",11,89,"Cross-basin",12.3595505617978
"550",12,89,"Cross-basin",13.4831460674157
"551",10,89,"Cross-basin",11.2359550561798
"552",15,89,"Cross-basin",16.8539325842697
"553",13,89,"Cross-basin",14.6067415730337
"554",15,89,"Cross-basin",16.8539325842697
"555",12,89,"Cross-basin",13.4831460674157
"556",8,89,"Cross-basin",8.98876404494382
"557",16,89,"Cross-basin",17.9775280898876
"558",13,89,"Cross-basin",14.6067415730337
"559",12,89,"Cross-basin",13.4831460674157
"560",10,89,"Cross-basin",11.2359550561798
"561",11,89,"Cross-basin",12.3595505617978
"562",12,89,"Cross-basin",13.4831460674157
"563",8,89,"Cross-basin",8.98876404494382
"564",13,89,"Cross-basin",14.6067415730337
"565",5,89,"Cross-basin",5.61797752808989
"566",10,89,"Cross-basin",11.2359550561798
"567",7,89,"Cross-basin",7.86516853932584
"568",15,89,"Cross-basin",16.8539325842697
"569",13,89,"Cross-basin",14.6067415730337
"570",8,89,"Cross-basin",8.98876404494382
"571",9,89,"Cross-basin",10.1123595505618
"572",12,89,"Cross-basin",13.4831460674157
"573",4,89,"Cross-basin",4.49438202247191
"574",10,89,"Cross-basin",11.2359550561798
"575",7,89,"Cross-basin",7.86516853932584
"576",9,89,"Cross-basin",10.1123595505618
"577",9,89,"Cross-basin",10.1123595505618
"578",12,89,"Cross-basin",13.4831460674157
"579",12,89,"Cross-basin",13.4831460674157
"580",11,89,"Cross-basin",12.3595505617978
"581",12,89,"Cross-basin",13.4831460674157
"582",11,89,"Cross-basin",12.3595505617978
"583",8,89,"Cross-basin",8.98876404494382
"584",19,89,"Cross-basin",21.3483146067416
"585",11,89,"Cross-basin",12.3595505617978
"586",10,89,"Cross-basin",11.2359550561798
"587",8,89,"Cross-basin",8.98876404494382
"588",13,89,"Cross-basin",14.6067415730337
"589",19,89,"Cross-basin",21.3483146067416
"590",6,89,"Cross-basin",6.74157303370786
"591",10,89,"Cross-basin",11.2359550561798
"592",11,89,"Cross-basin",12.3595505617978
"593",14,89,"Cross-basin",15.7303370786517
"594",8,89,"Cross-basin",8.98876404494382
"595",15,89,"Cross-basin",16.8539325842697
"596",7,89,"Cross-basin",7.86516853932584
"597",12,89,"Cross-basin",13.4831460674157
"598",11,89,"Cross-basin",12.3595505617978
"599",10,89,"Cross-basin",11.2359550561798
"600",8,89,"Cross-basin",8.98876404494382
"601",12,89,"Cross-basin",13.4831460674157
"602",7,89,"Cross-basin",7.86516853932584
"603",13,89,"Cross-basin",14.6067415730337
"604",8,89,"Cross-basin",8.98876404494382
"605",12,89,"Cross-basin",13.4831460674157
"606",9,89,"Cross-basin",10.1123595505618
